CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
136,MT,11472,D,"12,0",0,,"2,63746","2,11088","0,28635",AZUL,303,,"0,0",2016,"711,9410037994385","732,1255207061768","805,9589862823486"
137,MT,18364,A,"11,0",0,,"2,81671","1,63196","0,30232",AZUL,303,,"0,0",2016,"663,0580425262451","682,2340488433838","751,549482345581"
138,MT,30865,D,"10,0",0,,"1,78461","0,5442","0,17099",AZUL,303,,"0,0",2016,"564,7628307342529","592,1881198883057","699,6314525604248"
139,MT,32686,C,"20,0",0,,"1,66308","1,89621","0,13493",AZUL,303,,"0,0",2016,"703,2864093780518","732,1207523345947","846,9693660736084"
140,MT,27005,C,"29,0",0,,"1,37969","1,86612","0,22417",AZUL,303,,"0,0",2016,"694,9727535247803","731,698751449585","871,5789318084717"
141,MT,85018,E,"17,0",0,,"1,63837","2,68497","0,14392",AZUL,303,,"0,0",2016,"781,7380428314209","811,1493587493896","927,8385639190674"
142,MT,32808,C,"8,0",0,,"1,07664","1,11684","0,13937",AZUL,303,,"0,0",2016,"632,3211193084717","676,9673824310303","854,4533252716064"
143,MT,29844,B,"14,0",0,,"2,19275","2,46663","0,11939",AZUL,303,,"0,0",2016,"757,8246593475342","779,5159816741943","866,4863109588623"
144,MT,53219,D,"29,0",0,,"1,57797","0,76944","0,09447",AZUL,303,,"0,0",2016,"594,1669940948486","623,9383220672607","744,5018291473389"
145,MT,83608,E,"23,0",0,,"1,41103","2,11256","0,1529",AZUL,303,,"0,0",2016,"725,8837223052979","760,2064609527588","895,8261013031006"
146,MT,25285,C,"5,0",0,,"1,78123","1,4705","0,17889",AZUL,303,,"0,0",2016,"656,8639278411865","684,4727993011475","792,2189235687256"
147,MT,40660,A,"2,0",0,,"1,35187","2,42336","0,15877",AZUL,303,,"0,0",2016,"757,0855617523193","793,0319309234619","934,6764087677002"
148,MT,16644,D,"1,0",0,,"1,50889","1,52149","0,16712",AZUL,303,,"0,0",2016,"664,6959781646729","697,058916091919","824,0811824798584"
149,MT,42706,C,"26,0",0,,"1,64539","1,89258","0,19287",AZUL,303,,"0,0",2016,"698,8041400909424","728,956937789917","845,7891941070557"
150,MT,24747,B,"15,0",0,,"1,03364","2,43323","0,16635",AZUL,303,,"0,0",2016,"761,7299556732178","808,9487552642822","994,3573474884033"
151,MT,96774,A,"25,0",0,,"1,82869","1,82931","0,18734",AZUL,303,,"0,0",2016,"691,9066905975342","718,9409732818604","823,9953517913818"
152,MT,60291,C,"28,0",0,,"1,63497","3,74711","0,20983",AZUL,303,,"0,0",2016,"882,9586505889893","913,6431217193604","1031,4671993255615"
153,MT,45081,D,"28,0",0,,"1,11894","0,27904","0,19659",AZUL,303,,"0,0",2016,"541,5122509002686","585,9558582305908","757,8365802764893"
154,MT,42955,B,"13,0",0,,"1,78999","0,80312","0,19843",AZUL,303,,"0,0",2016,"588,6857509613037","616,502046585083","723,9692211151123"
155,MT,32221,C,"6,0",0,,"0,94342","-0,40779","0,19983",AZUL,303,,"0,0",2016,"474,9147891998291","527,7388095855713","731,6749095916748"
156,MT,59795,E,"16,0",0,,"2,1306","1,96996","0,09445",AZUL,303,,"0,0",2016,"709,7523212432861","731,8012714385986","821,0937976837158"
157,MT,37515,E,"27,0",0,,"2,78017","0,90583","0,12599",AZUL,303,,"0,0",2016,"599,1213321685791","616,2898540496826","684,9281787872314"
158,MT,83234,A,"24,0",0,,"0,98951","1,93987","0,07908",AZUL,303,,"0,0",2016,"723,0751514434814","770,2105045318604","962,2042179107666"
159,MT,83152,B,"30,0",0,,"2,16875","2,57525","0,18866",AZUL,303,,"0,0",2016,"765,0153636932373","787,8296375274658","876,4259815216064"
160,MT,10052,D,"21,0",0,,"0,86661","3,92011","0,186",AZUL,303,,"0,0",2016,"911,149263381958","968,1479930877686","1189,7914409637451"
161,MT,32969,D,"8,0",0,,"1,98636","2,03775","0,14588",AZUL,303,,"0,0",2016,"714,5802974700928","738,8656139373779","835,1318836212158"
162,MT,53278,A,"26,0",0,,"1,8996","2,1059","0,1077",AZUL,303,,"0,0",2016,"724,1504192352295","749,0413188934326","849,3177890777588"
163,MT,38786,A,"3,0",0,,"1,46119","2,45335","0,12054",AZUL,303,,"0,0",2016,"761,9993686676025","794,569730758667","925,0943660736084"
164,MT,42692,B,"4,0",0,,"1,82503","1,84464","0,15051",AZUL,303,,"0,0",2016,"695,9264278411865","722,4290370941162","827,2569179534912"
165,MT,8476,D,"3,0",0,,"1,15634","2,81506","0,10382",AZUL,303,,"0,0",2016,"804,1446208953857","844,9571132659912","1009,6256732940674"
166,MT,87262,B,"22,0",0,,"1,67523","2,64728","0,24232",AZUL,303,,"0,0",2016,"770,0841426849365","800,7352352142334","916,2228107452393"
167,MT,25723,C,"21,0",0,,"2,10247","2,63616","0,2797",AZUL,303,,"0,0",2016,"765,1941776275635","790,3664112091064","882,8895092010498"
168,MT,39762,E,"2,0",0,,"2,05535","2,59645","0,17208",AZUL,303,,"0,0",2016,"768,5606479644775","792,3882007598877","885,6909275054932"
169,MT,95265,A,"18,0",0,,"0,29852","10,12436","0,15255",AZUL,303,,"0,0",2016,"1581,7110538482666","1743,9167499542236","2384,9313259124756"
