CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
1,CH,24918,C,"1,0",0,,"1,30844","2,80277","0,05925",AMARELA,PROVA AMARELA,,"0,0",2017,"793,8306331634521","839,1420841217041","984,086275100708","52,96",Cluster 3
8,CH,67329,A,"12,0",0,,"0,53807","1,55692","0,03894",AMARELA,PROVA AMARELA,,"0,0",2017,"692,6839351654053","801,7914295196533","1153,659105300903","51,95",Cluster 3
10,CH,66214,B,"11,0",0,,"1,15442","1,88117","0,10267",AMARELA,PROVA AMARELA,,"0,0",2017,"699,2142200469971","751,7569065093994","916,6829586029052","55,13",Cluster 3
11,CH,26920,A,"8,0",0,,"2,06454","2,51065","0,24616",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"747,570276260376","780,0858020782471","873,8462924957275","62,31",Cluster 3
12,CH,47012,B,"22,0",0,,"3,07242","2,40178","0,20826",AMARELA,PROVA AMARELA,,"0,0",2017,"739,7787570953369","760,9455585479736","823,6329555511475","60,41",Cluster 3
16,CH,25281,A,"21,0",0,,"1,50343","1,89255","0,14213",AMARELA,PROVA AMARELA,,"0,0",2017,"694,5412158966064","735,8424663543701","862,9815578460693","57,11",Cluster 3
18,CH,30150,C,"15,0",0,,"1,70412","2,19192","0,21601",AMARELA,PROVA AMARELA,,"0,0",2017,"717,7822589874268","756,1819553375244","869,3115711212158","60,8",Cluster 3
19,CH,82449,D,"10,0",0,,"1,15761","1,72114","0,0512",AMARELA,PROVA AMARELA,,"0,0",2017,"688,1849765777588","739,1970157623291","902,91428565979","52,56",Cluster 3
21,CH,24935,E,"13,0",0,,"2,30323","1,65187","0,15989",AMARELA,PROVA AMARELA,,"0,0",2017,"667,6285266876221","694,8988437652588","778,0449390411377","57,99",Cluster 3
25,CH,79005,C,"26,0",0,,"3,00182","1,83487","0,10355",AMARELA,PROVA AMARELA,,"0,0",2017,"687,7200603485107","707,9355716705322","771,3668346405029","55,18",Cluster 3
27,CH,84128,A,"29,0",0,,"0,78","1,803","0,142",AMARELA,PROVA AMARELA,,"0,0",2017,"690,51194190979","770,1103687286377","1015,1641368865968","57,1",Cluster 3
28,CH,6990,E,"17,0",0,,"2,11976","2,68484","0,25867",AMARELA,PROVA AMARELA,,"0,0",2017,"764,0831470489502","796,1146831512451","887,5958919525146","62,93",Cluster 3
33,CH,84192,D,"17,0",0,,"2,19559","1,6262","0,15363",AMARELA,PROVA AMARELA,,"0,0",2017,"665,5590534210205","694,0476894378662","781,2135219573975","57,68",Cluster 3
