CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
1,CH,24918,C,"1,0",0,,"1,30844","2,80277","0,05925",AMARELA,PROVA AMARELA,,"0,0",2017,"793,8306331634521","839,1420841217041","984,086275100708","52,96",Cluster 3
1,CH,81726,B,"30,0",0,,"3,95893","1,08055","0,14882",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"609,8430156707764","625,5953311920166","673,9108562469482","57,44",Cluster 2
2,CH,23043,D,"20,0",0,,"1,93517","0,75431","0,10121",AMARELA,PROVA AMARELA,,"0,0",2017,"582,1411609649658","613,4598255157471","711,8313312530518","55,06",Cluster 2
2,CH,66987,C,"30,0",0,,"1,6807","-0,22728","0,18248",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"478,7724018096924","516,7310237884521","630,9669017791748","59,12",Cluster 0
3,CH,49661,E,"4,0",0,,"2,76077","0,40708","0,15169",AMARELA,PROVA AMARELA,,"0,0",2017,"543,1382656097412","565,7665729522705","635,0724697113037","57,58",Cluster 0
3,CH,66754,D,"21,0",0,,"2,809","-0,0156","0,15158",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"500,83327293396","523,0705738067627","591,1867618560791","57,58",Cluster 0
4,CH,49943,A,"27,0",0,,"3,84842","0,6481","0,14619",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"566,7393207550049","582,9160213470459","632,6048374176025","57,31",Cluster 0
4,CH,76970,A,"14,0",0,,"3,29925","0,72321","0,13557",AMARELA,PROVA AMARELA,,"0,0",2017,"574,9838352203369","593,7283039093018","651,6234874725342","56,78",Cluster 2
5,CH,25520,B,"6,0",0,,"0,75649","1,2834","0,26741",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"613,9891147613525","704,4999599456787","961,1670970916748","63,37",Cluster 2
5,CH,79027,E,"27,0",0,,"3,05195","1,30961","0,19394",AMARELA,PROVA AMARELA,,"0,0",2017,"631,2506198883057","652,3292064666748","715,3265476226807","59,7",Cluster 2
6,CH,31752,A,"11,0",0,,"0,79125","0,4275","0,23451",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"536,0429286956787","620,018720626831","864,2642498016357","61,73",Cluster 0
6,CH,78146,E,"8,0",0,,"4,15431","0,99679","0,17249",AMARELA,PROVA AMARELA,,"0,0",2017,"600,6209850311279","615,8702373504639","662,0328426361084","58,62",Cluster 2
7,CH,25316,C,"1,0",0,,"3,11845","1,14451","0,21842",AMARELA,PROVA AMARELA,,"0,0",2017,"613,5623455047607","634,5860958099365","696,4271068572998","60,92",Cluster 2
7,CH,53963,A,"20,0",0,,"2,9889","0,61953","0,19758",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"562,0710849761963","583,6527347564697","648,0066776275635","59,88",Cluster 0
8,CH,67329,A,"12,0",0,,"0,53807","1,55692","0,03894",AMARELA,PROVA AMARELA,,"0,0",2017,"692,6839351654053","801,7914295196533","1153,659105300903","51,95",Cluster 3
8,CH,79165,D,"23,0",0,,"3,41247","0,2849","0,13263",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"531,1720371246338","549,2608547210693","605,2200794219971","56,63",Cluster 0
9,CH,24292,A,"4,0",0,,"3,69706","0,41133","0,19062",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"541,5027141571045","558,8595867156982","610,8419895172119","59,53",Cluster 0
9,CH,96575,E,"3,0",0,,"1,59347","0,79893","0,02275",AMARELA,PROVA AMARELA,,"0,0",2017,"593,4350490570068","630,0036907196045","748,6646175384521","51,14",Cluster 2
10,CH,18350,C,"3,0",0,,"1,68323","0,11244","0,20383",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"510,908842086792","549,4134426116943","663,7732982635498","60,19",Cluster 0
10,CH,66214,B,"11,0",0,,"1,15442","1,88117","0,10267",AMARELA,PROVA AMARELA,,"0,0",2017,"699,2142200469971","751,7569065093994","916,6829586029052","55,13",Cluster 3
11,CH,26920,A,"8,0",0,,"2,06454","2,51065","0,24616",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"747,570276260376","780,0858020782471","873,8462924957275","62,31",Cluster 3
11,CH,67012,D,"8,0",0,,"1,57485","1,06511","0,12223",AMARELA,PROVA AMARELA,,"0,0",2017,"613,147497177124","652,0979404449463","773,2241153717041","56,11",Cluster 2
12,CH,47012,B,"22,0",0,,"3,07242","2,40178","0,20826",AMARELA,PROVA AMARELA,,"0,0",2017,"739,7787570953369","760,9455585479736","823,6329555511475","60,41",Cluster 3
12,CH,68289,C,"17,0",0,,"0,78374","1,46576","0,24601",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"637,404203414917","723,0441570281982","970,0219631195068","62,3",Cluster 2
13,CH,37521,D,"15,0",0,,"2,27318","0,94294","0,14533",AMARELA,PROVA AMARELA,,"0,0",2017,"597,6097583770752","624,9802112579346","709,0942859649658","57,27",Cluster 2
13,CH,60024,C,"13,0",0,,"1,48027","0,2402","0,19458",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"524,5559215545654","568,0339336395264","697,9267597198486","59,73",Cluster 0
14,CH,29085,B,"11,0",0,,"3,658","1,22452","0,23857",AMARELA,PROVA AMARELA,,"0,0",2017,"620,8221912384033","639,0492916107178","691,9114589691162","61,93",Cluster 2
14,CH,54060,B,"12,0",0,,"1,34111","1,25968","0,22337",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"623,3279705047607","672,4135875701904","816,3039684295654","61,17",Cluster 2
15,CH,8456,B,"6,0",0,,"3,69069","0,63388","0,16417",AMARELA,PROVA AMARELA,,"0,0",2017,"564,7556781768799","581,8216800689697","633,737325668335","58,21",Cluster 0
15,CH,16422,E,"22,0",0,,"2,7308","0,96377","0,22682",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"594,8822498321533","619,0578937530518","689,7537708282471","61,34",Cluster 2
16,CH,25281,A,"21,0",0,,"1,50343","1,89255","0,14213",AMARELA,PROVA AMARELA,,"0,0",2017,"694,5412158966064","735,8424663543701","862,9815578460693","57,11",Cluster 3
16,CH,28757,D,"1,0",0,,"2,62786","1,07698","0,12508",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"611,5405559539795","634,9246501922607","707,5350284576416","56,25",Cluster 2
17,CH,38765,C,"15,0",0,,"0,99919","1,02893","0,23291",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"597,8386402130127","664,2477512359619","857,6219081878662","61,65",Cluster 2
