CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
7,LC,60767,E,"6,0",0,,"1,8619","1,70239","0,25075",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"665,9524440765381","702,1563053131104","806,1854839324951","62,54",Cluster 0
14,LC,27809,C,"17,0",0,,"3,14781","1,61104","0,18123",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"661,9613170623779","682,2102069854736","743,1952953338623","59,06",Cluster 0
24,LC,84380,B,"15,0",0,,"1,56281","1,55459","0,11684",AMARELA,PROVA AMARELA,,"0,0",2017,"662,5692844390869","701,6961574554443","823,6901760101318","55,84",Cluster 0
33,LC,96950,E,"21,0",0,,"0,70988","2,33551","0,13044",AMARELA,PROVA AMARELA,,"0,0",2017,"746,8359470367432","833,6751461029053","1102,6136875152588","56,52",Cluster 0
38,LC,39530,A,"25,0",0,,"2,55207","1,54953","0,14433",AMARELA,PROVA AMARELA,,"0,0",2017,"657,9558849334717","682,3198795318604","757,2357654571533","57,22",Cluster 0
47,LC,19655,B,"27,0",0,,"3,16284","2,20447","0,15292",AMARELA,PROVA AMARELA,,"0,0",2017,"722,5172519683838","742,2845363616943","802,7880191802979","57,65",Cluster 0
50,LC,30995,C,"14,0",0,,"1,09319","3,12888","0,23786",AMARELA,PROVA AMARELA,,"0,0",2017,"807,537317276001","868,4961795806885","1045,3622341156006","61,89",Cluster 0
3,LC,61229,E,"5,0",0,,"1,73024","1,83611","0,20924",Amarela,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2018,"682,8157901763916","720,4334735870361","831,7606449127197","60,46",Cluster 0
5,LC,88480,B,"5,0",0,,"1,16779","1,53947","0,11223",Amarela,PROVA AMARELA,"1,0","0,0",2018,"663,9401912689209","716,1633968353271","879,3489933013916","55,61",Cluster 0
11,LC,25943,E,"11,0",0,,"1,27597","1,82145","0,16274",Amarela,PROVA AMARELA,,"0,0",2018,"686,2514019012451","735,5706691741943","885,7052326202393","58,14",Cluster 0
14,LC,23744,C,"12,0",0,,"2,84638","1,69334","0,09954",Amarela,PROVA AMARELA,,"0,0",2018,"673,9656925201416","695,237398147583","762,1066570281982","54,98",Cluster 0
19,LC,8562,A,"9,0",0,,"1,19713","1,58367","0,12869",Amarela,PROVA AMARELA,,"0,0",2018,"666,4268970489502","717,8680896759033","877,3152828216553","56,43",Cluster 0
23,LC,111896,E,"3,0",0,,"1,84593","2,0971","0,06234",Amarela,PROVA AMARELA,,"0,0",2018,"719,1340923309326","751,3015270233154","854,0694713592529","53,12",Cluster 0
24,LC,24528,D,"16,0",0,,"0,49981","3,32746","0,04951",Amarela,PROVA AMARELA,,"0,0",2018,"870,3296184539795","988,3825778961182","1367,5158023834229","52,48",Cluster 0
25,LC,112150,B,"14,0",0,,"1,95328","1,6945","0,18002",Amarela,PROVA AMARELA,,"0,0",2018,"670,9187030792236","703,5224437713623","801,7890453338623","59,0",Cluster 0
26,LC,112101,A,"17,0",0,,"1,21324","2,30266","0,14615",Amarela,PROVA AMARELA,,"0,0",2018,"736,3908290863037","787,69850730896","945,314645767212","57,31",Cluster 0
