CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
114,CN,54768,A,"24,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
116,CN,97580,C,"24,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
105,CN,42605,B,"6,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
107,CN,83609,E,"18,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Cinza,PROVA CINZA,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
107,CN,15357,X,"23,0",1,Anulado,,,,CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2020,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
129,CN,32352,X,"13,0",1,Anulado,,,,CINZA,PROVA CINZA,,"0,0",2020,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
113,CN,86378,D,"30,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,CINZA,PROVA CINZA,,,2021,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
112,CN,141605,D,"19,0",1,Bilog não converge,,,,CINZA,PROVA CINZA,,"0,0",2022,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
111,CN,89554,D,"7,0",1,BLG não rodou,,,,CINZA,PROVA CINZA,,"0,0",2022,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
105,CN,64203,A,"5,0",1,bisblg < -0.15,,,,CINZA,PROVA CINZA,,"0,0",2022,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
92,CN,75845,D,"1,0",1,BLG não rodou,,,,CINZA,PROVA CINZA,,"0,0",2022,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
