CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
1,CN,37558,E,"21,0",0,,"3,52416","1,83339","0,13342",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"685,9080791473389","703,4318447113037","757,6220035552979","56,67",Cluster 0
1,CN,61269,C,"14,0",0,,"5,00249","0,92951","0,15259",CINZA,PROVA CINZA,,"0,0",2017,"594,2671298980713","606,7626476287842","645,0169086456299","57,63",Cluster 2
2,CN,81780,C,"18,0",0,,"1,89955","2,39752","0,20382",CINZA,PROVA CINZA,,"0,0",2017,"739,4545078277588","773,5745906829834","874,9120235443115","60,19",Cluster 3
2,CN,81945,B,"30,0",0,,"4,28182","0,84553","0,08121",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"588,125467300415","602,1277904510498","646,5046405792236","54,06",Cluster 2
3,CN,29492,C,"25,0",0,,"2,33592","1,59496","0,15895",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"661,9565486907959","688,828706741333","770,8041667938232","57,95",Cluster 0
3,CN,43703,D,"6,0",0,,"4,93511","1,20198","0,19216",CINZA,PROVA CINZA,,"0,0",2017,"620,4288005828857","633,446455001831","672,3968982696533","59,61",Cluster 0
4,CN,18231,A,"14,0",0,,"2,77928","1,67212","0,20189",CINZA,PROVA CINZA,,"0,0",2017,"667,1111583709717","690,3975009918213","759,6414089202881","60,09",Cluster 0
4,CN,26210,D,"23,0",0,,"4,85658","1,65699","0,12148",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"667,8693294525146","680,4959774017334","719,7706699371338","56,07",Cluster 0
5,CN,11793,C,"5,0",0,,"2,16303","1,26972","0,22316",CINZA,PROVA CINZA,,"0,0",2017,"625,349760055542","655,7791233062744","744,9905872344971","61,16",Cluster 0
5,CN,60062,B,"21,0",0,,"1,78156","2,48622","0,34272",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"734,0519428253174","775,9277820587158","886,3131999969482","67,14",Cluster 3
6,CN,33127,D,"13,0",0,,"3,76221","1,51174","0,05901",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"655,8959484100342","671,6506481170654","722,0594882965088","52,95",Cluster 0
6,CN,60699,D,"18,0",0,,"3,57306","1,33759","0,27353",CINZA,PROVA CINZA,,"0,0",2017,"630,4137706756592","649,6922969818115","704,085111618042","63,68",Cluster 0
7,CN,43880,E,"20,0",0,,"4,27457","0,56765","0,22036",CINZA,PROVA CINZA,,"0,0",2017,"556,0462474822998","571,4075565338135","616,5354251861572","61,02",Cluster 2
7,CN,60227,D,"10,0",0,,"1,8599","2,25758","0,27091",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"719,5870876312256","756,5252780914307","860,9764575958252","63,55",Cluster 3
8,CN,8757,E,"19,0",0,,"1,29682","2,03245","0,05236",CINZA,PROVA CINZA,,"0,0",2017,"717,4937725067139","763,0555629730225","909,2133045196532","52,62",Cluster 3
8,CN,41025,D,"16,0",0,,"4,43094","1,16488","0,23983",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"615,0953769683838","630,1610469818115","673,8083362579346","61,99",Cluster 0
9,CN,48655,A,"21,0",0,,"2,90081","1,45295","0,15165",CINZA,PROVA CINZA,,"0,0",2017,"647,6085186004639","669,144868850708","735,1057529449463","57,58",Cluster 0
9,CN,60918,C,"14,0",0,,"3,33047","1,12954","0,20831",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"612,5824451446533","632,1113109588623","689,9421215057373","60,42",Cluster 0
10,CN,17983,A,"24,0",0,,"2,70478","1,41041","0,14995",CINZA,PROVA CINZA,,"0,0",2017,"643,6054706573486","666,6772365570068","737,4041080474854","57,5",Cluster 0
10,CN,24620,E,"19,0",0,,"3,87561","2,07102","0,20037",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"707,0868015289307","723,766565322876","773,4148502349854","60,02",Cluster 3
11,CN,25499,B,"5,0",0,,"2,56786","2,05471","0,36085",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"693,6876773834229","723,4876155853271","800,3489971160889","68,04",Cluster 0
11,CN,48663,E,"29,0",0,,"3,57627","1,63399","0,08793",CINZA,PROVA CINZA,,"0,0",2017,"667,461633682251","684,2868328094482","737,4517917633057","54,4",Cluster 0
12,CN,47592,E,"12,0",0,,"1,96091","0,61832","0,19121",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"562,483549118042","595,2255725860596","693,2394504547119","59,56",Cluster 2
12,CN,87974,A,"3,0",0,,"4,31314","1,03504","0,27747",CINZA,PROVA CINZA,,"0,0",2017,"600,5685329437256","616,6021823883057","661,6871356964111","63,87",Cluster 2
13,CN,36884,E,"25,0",0,,"2,07918","1,57822","0,1632",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"660,3114604949951","690,5882358551025","782,7298641204834","58,16",Cluster 0
13,CN,81971,B,"22,0",0,,"2,43217","2,43127","0,10862",CINZA,PROVA CINZA,,"0,0",2017,"748,1043338775635","773,1263637542725","851,4516353607178","55,43",Cluster 3
14,CN,26559,E,"1,0",0,,"4,43423","1,76617","0,08149",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"680,0596714019775","693,5827732086182","736,436128616333","54,07",Cluster 0
14,CN,59829,C,"1,0",0,,"2,90199","2,46786","0,0832",CINZA,PROVA CINZA,,"0,0",2017,"751,9786357879639","772,6614475250244","838,1502628326416","54,16",Cluster 3
15,CN,31900,A,"15,0",0,,"1,65915","1,04694","0,25758",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"599,1833209991455","640,0673389434814","756,9258213043213","62,88",Cluster 2
15,CN,88958,D,"13,0",0,,"3,45481","0,81755","0,26187",CINZA,PROVA CINZA,,"0,0",2017,"578,8938999176025","598,6087322235107","654,7634601593018","63,09",Cluster 2
16,CN,50248,D,"5,0",0,,"2,68559","1,26039","0,23368",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"624,1123676300049","648,8363742828369","720,7911014556885","61,68",Cluster 0
16,CN,84223,A,"10,0",0,,"3,62376","2,04059","0,13436",CINZA,PROVA CINZA,,"0,0",2017,"706,526517868042","723,5782146453857","776,2830257415771","56,72",Cluster 3
17,CN,44722,C,"13,0",0,,"1,85458","-0,36427","0,20283",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"463,3467197418213","498,2678890228272","602,0491123199463","60,14",Cluster 2
17,CN,68394,A,"8,0",0,,"3,11856","1,34402","0,12344",CINZA,PROVA CINZA,,"0,0",2017,"637,704610824585","657,390832901001","718,5642719268799","56,17",Cluster 0
18,CN,18349,E,"20,0",0,,"1,57613","2,91532","0,05134",CINZA,PROVA CINZA,,"0,0",2017,"803,3268451690674","840,7943248748779","961,040735244751","52,57",Cluster 3
18,CN,30504,C,"24,0",0,,"1,80075","0,80683","0,21211",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"579,6782970428467","615,9036159515381","722,9106426239014","60,61",Cluster 2
19,CN,55248,C,"6,0",0,,"2,31428","0,57773","0,20927",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"557,1763515472412","585,3002071380615","668,534517288208","60,46",Cluster 2
19,CN,82421,C,"21,0",0,,"2,89479","1,7348","0,11597",CINZA,PROVA CINZA,,"0,0",2017,"677,3536205291748","698,4679698944092","764,3239498138428","55,8",Cluster 0
20,CN,30022,D,"25,0",0,,"2,35927","2,68155","0,19738",CINZA,PROVA CINZA,,"0,0",2017,"768,317461013794","795,6545352935791","877,1817684173584","59,87",Cluster 3
20,CN,30038,E,"29,0",0,,"2,97316","0,61863","0,10857",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"565,9358501434326","586,4040851593018","650,4790782928467","55,43",Cluster 2
21,CN,29629,A,"9,0",0,,"3,66489","0,24744","0,19369",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"524,9946117401123","542,5446033477783","595,0038433074951","59,68",Cluster 2
21,CN,42557,C,"28,0",0,,"3,63826","2,25847","0,23489",CINZA,PROVA CINZA,,"0,0",2017,"724,372148513794","742,6397800445557","795,7618236541748","61,74",Cluster 3
22,CN,26499,E,"3,0",0,,"2,39733","1,61597","0,18759",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"662,3475551605225","689,0552043914795","769,1924571990967","59,38",Cluster 0
22,CN,88873,B,"26,0",0,,"1,76039","2,1206","0,13709",CINZA,PROVA CINZA,,"0,0",2017,"716,9406414031982","752,1026134490967","860,6259822845459","56,85",Cluster 3
23,CN,17576,C,"17,0",0,,"3,69266","-0,06027","0,18931",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"494,3935871124268","511,75522804260254","563,7924671173096","59,47",Cluster 2
23,CN,49555,A,"12,0",0,,"1,35058","0,85071","0,01215",CINZA,PROVA CINZA,,"0,0",2017,"601,8393039703369","644,7832584381104","784,6705913543701","50,61",Cluster 2
24,CN,48559,B,"8,0",0,,"1,41479","0,74617","0,22155",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"572,3135471343994","618,7741756439209","755,1376819610596","61,08",Cluster 2
24,CN,64059,D,"5,0",0,,"3,73264","1,18769","0,12778",CINZA,PROVA CINZA,,"0,0",2017,"621,384859085083","637,8738880157471","689,0075206756592","56,39",Cluster 0
