"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","F1"
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,394.609099001684
0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,493.68404771619
1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,544.010994285274
1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,544.624050447287
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,351.484729760241
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,408.708459665893
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,393.106511571284
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,424.96802119399
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,690.411553064343
0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,484.161394829508
0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,512.965302913034
1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,596.197189425293
0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,514.345700660364
0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,516.338746280009
1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,436.755572031279
0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,453.413539972127
0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,425.102027040846
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,687.991972288646
0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,463.269217800416
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,329.724537155968
1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,638.041814740769
0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,407.765161023577
0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,402.502034298209
1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,619.214856798955
0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,523.114475736568
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,452.921893162512
0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,545.205579838234
1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,596.149219307977
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,658.254085875543
0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,445.827997825263
0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,462.328848091339
0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,437.447135290747
0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,443.183297022312
0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,463.908661241424
1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,619.01376006104
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,664.346591459638
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,659.055661862558
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,415.091815210794
1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,506.133419770424
1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,490.305269675941
0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,537.743219712804
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,347.125719705718
1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,514.428203489579
0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,522.117323594628
0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,443.220359205114
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,389.903253512632
0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,541.240657938285
1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,516.2710306917
0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,429.516530080474
0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,415.363409192709
1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,493.08948393239
1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,485.767985435096
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,687.991972288646
0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,464.216370868939
0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,614.531795313023
0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,466.44852779929
1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,633.978032707979
1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,601.586029928487
0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,489.088141161025
1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,522.366459612693
1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,464.198104054533
0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,430.303643288451
0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,436.418843489159
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,334.370830823644
0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,496.092084891212
1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,465.453215617534
0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,536.258084053954
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,442.024886689523
1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,475.736707672328
1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,622.237601337593
1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,464.652388526035
0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,507.766347695968
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,615.332613106418
0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,491.952275808429
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,648.075154304136
0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,540.1029089303
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,366.566989179352
0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,489.854405103671
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,351.461586881642
0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,432.912846222421
0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,495.50728659802
0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,495.284407752024
0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,516.427401044381
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,687.815819325626
0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,438.782865440817
1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,484.726905101432
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,351.461586881642
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,407.624196274987
0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,459.108782028467
0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,412.02216892226
0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,515.925956589512
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,380.51668420981
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,380.032667273138
1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,518.434986392651
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,380.032667273138
1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,567.981542756953
0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,415.9817929809
1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,572.135845494183
0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,603.587965065914
1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,588.670929291916
1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,600.360441131932
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,382.95565165517
0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,537.146437053129
1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,596.559128301644
1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,565.743399184924
0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,596.2558999737
1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,562.562227789639
0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,426.362902075066
0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,419.550458030931
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,403.968070974462
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,390.852864175352
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,658.490440990982
0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,519.21081306213
0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,540.454405361049
0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,470.957653932762
0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,438.782865440817
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,345.960790021202
1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,452.84047777278
0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,412.493869880415
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,666.424880638197
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,572.875598086566
0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,655.432182788082
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,333.016271549435
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,617.639129472839
0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,563.326790217612
1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,518.506188571715
1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,593.87292183621
0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,436.175417270806
1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,448.390553072391
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,694.944656055566
0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,492.604324835788
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,659.055661862558
0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,486.445241899114
0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,445.11345177578
1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,569.191218599374
1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,518.191773510883
1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,575.215380778768
0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,464.865032395395
1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,563.068296830293
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,470.176802151219
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,694.944656055566
1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,519.742520134679
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,397.613142852733
0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,460.633882316051
