CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto
171,MT,39624,D,"1,0",0,,"2,35085","0,97529","0,18771",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2020,"597,5382328033447",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/39624.png,"Questão 171 Spemororenamororenemorrensmoranenerr Sperr spemornenam

Usando um computador construído com peças avulsas, o japonês Shigeru Kondo calculou o valor da constante
matemática 17 com precisão de 5 trilhões de dígitos. Com isso, foi quebrado o recorde anterior, de dois trilhões de
dígitos, estabelecido pelo francês Fabrice Bellard.

Dente em west comb Acaso em: é tz 2012
A quantidade de zeros que segue o algarismo 5 na representação do número de dígitos de 1 calculado pelo japonês é
os
os
es
o 12
es
","645,1241970062256","784,0530872344971","59,39"
147,MT,40660,A,"2,0",0,,"1,35187","2,42336","0,15877",AZUL,PROVA AZUL,,"0,0",2016,"742,3417568206787",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/40660.png,"QUESTÃO 147

O tênis é um esporte em que a estratégia de jogo a ser
adotada depende, entre outros fatores, de o adversário
Ser canhoto ou destro.

Um clube tem um grupo de 10 tenistas, sendo
que 4 são canhotos e 6 são destros. O técnico do clube
deseja realizar uma partida de exibição entre dois desses
jogadores, porém, não poderão ser ambos canhotos.
Qual 0 número de possibilidades de escolha dos tenistas.
para a partida de exibição?

1a! a
2x8 2x2
101 4
sa

1a!
axe

[D) Sra
","828,5181522369385","1069,3137645721436","57,94"
23,MT,16883,E,"3,0",0,,"0,89154","1,16465","0,25916",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"616,4782047271729",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/16883.png,"QUESTÃO 158

Duas amigas irão fazer um curso no exterior durante
60 dias e usarão a mesma marca de xampu. Uma delas
gasta um frasco desse xampu em 10 dias enquanto que
a outra leva 20 dias para gastar um frasco com o mesmo
volume. Elas combinam de usar, conjuntamente, cada
frasco de xampu que levarem.

O número mínimo de frascos de xampu que deverão levar
nessa viagem é
","728,04856300354","1097,8357791900637","62,96"
39,MT,31029,C,"4,0",0,,"2,69328","3,31034","0,04631",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"831,040620803833",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/31029.png,"QUESTÃO 174

A baixa procura por came bovina e o aumento de
oferta de animais para abate fizeram com que o preço
da arroba do boi apresentasse queda para o consumidor.
No ano de 2012, o preço da arroba do boi caiu de
R$ 100,00 para R$ 93,00.

Disponível em: wwruiariodemariia.com br. Acesso em: 14 ago. 2012.
Com o mesmo valor destinado à aquisição de came, em
termos de perda ou ganho, o consumidor

O ganhou 6,5% em poder aquisitivo de carne.

€ ganhou 7% em poder aquisitivo de came.

O ganhou 7,5% em poder aquisitivo de carne.

O perdeu 7% em poder aquisitivo de carne.

& perdeu 7,5% em poder aquisitivo de came.
","880,2931308746338","999,8695850372314","52,32"
177,MT,82367,B,"5,0",0,,"1,46307","2,90397","0,16934",Cinza,PROVA CINZA,,"0,0",2018,"790,4069423675537",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/82367.png,"QUESTÃO 177

Um produtor de milho utiliza uma área de 160 hectares.
para as suas atividades agrícolas. Essa área é dividida em
duas partes: uma de 40 hectares, com maior produtividade,
€ outra, de 120 hectares, com menor produtividade.
A produtividade é dada pela razão entre a produção,
em tonelada, e a área cultivada. Sabe-se que a área de
40 hectares tem produtividade igual a 2,5 vezes à
da outra. Esse fazendeiro pretende aumentar sua
produção total em 15%, aumentando o tamanho da
sua propriedade. Para tanto, pretende comprar uma
parte de uma fazenda vizinha, que possui a mesma
produtividade da parte de 120 hectares de suas terras.
Qual é a área mínima, em hectare, que o produtor
precisará comprar?

ooo
s
","868,8919544219971","1091,648817062378","58,47"
155,MT,32221,C,"6,0",0,,"0,94342","-0,40779","0,19983",AZUL,PROVA AZUL,,"0,0",2016,"459,2125415802002",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/32221.png,"QUESTÃO 155

Os alunos de uma escola utiizaram caderas iguais às
da figura para uma aula do ar ie A professora, so final
da aula, solicitou que os alunos fechassem as cadeiras
paraguardá-las. Dopois de guardadas, os alunos foram
úm esboço da vista lateral da cadeira fechada

Qual é o esboço obtido pelos alunos?

- dr Ur dr ar
","575,7014751434326","922,3930835723876","59,99"
159,MT,12484,E,"7,0",0,,"1,93769","2,20182","0,14334",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"720,1902866363525",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/12484.png,"Questão 159

No ano de 1751, o matemático Euler conseguiu
demonstrar a famosa relação para poliedros convexos
que relaciona o número de suas faces (F), arestas (A) e
vértices (V): V+ F = A + 2. No entanto, na busca dessa
demonstração, essa relação foi sendo testada em
poliedros convexos e não convexos. Observou-se que
alguns poliedros não convexos satisfaziam a relação
e outros não. Um exemplo de poliedro não convexo
é dado na figura. Todas as faces que não podem ser
vistas diretamente são retangulares.

Qual a relação entre os vértices, as faces e as arestas
do poliedro apresentado na figura?

O v+F-A

O v+F=A-1

O v+F=A+1

O v+F=A+2

O v+F-A+3
","781,5353870391846","949,2533206939696","57,17"
146,MT,29906,C,"8,0",0,,"2,27407","1,97371","0,1809",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2022,"697,3593235015869",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/29906.png,"QUESTÃO 146

Uma empresa de publicidade está criando um
logotipo que tem o formato indicado na figura. O circulo
menor está inscrito no quadrado ABCD, e o circulo maior
circunscreve o mesmo quadrado. Considere 51 a área do
círculo menor e S2 a área do círculo maior.

A razão da área do circulo maior para o circulo menor é
igual a

oz
1
z
2
8

voo o
","747,0600605010986","890,5642032623291","59,04"
151,MT,81332,E,"9,0",0,,"2,66849","2,34035","0,0811",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"734,0424060821533",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/81332.png,"Questão 151
Uma empresa de transporte disponibiliza, para embalagem de encomendas, caixas de papelão no formato de
paralelepípedo retoretângulo, conforme dimensões no quadro.

Modelo da caixa Comprimento (cm) Largura (cm) | Altura (cm)
1 12 12 13
2 23 20 25
3 25 25 25
4 26 25 24
5 23 26 26

Para embalar uma encomenda, contendo um objeto esférico com 11 cm de raio, essa empresa adota como
critério a utilização da caixa, dentre os modelos disponíveis, que comporte, quando fechada e sem deformá-la, a
encomenda e que possua a menor área de superfície total.

Desconsidere a espessura da caixa.
","781,9788455963135","903,0311107635498","54,06"
168,MT,15268,C,"10,0",0,,"2,06279","1,35535","0,21845",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2022,"635,5278491973877",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/15268.png,"QUESTÃO 168

Os países anglófonos, como a Inglaterra, o Canadá, a
Austrália e outros, são países que utilizam dois sistemas
de unidades para a identificação de distâncias: o Sistema
Internacional, com o quilômetro (km), e o CGS, com a
milha (mi). Nas rodovias canadenses, por exemplo, as
placas de sinalização de distâncias apresentam dois
valores, um em km e outro em mi, com esta última
equivalente a aproximadamente 1 610 metros.

Um turista brasileiro, habituado ao Sistema
Intemacional, em viagem por uma dessas rodovias,
verifica em dado momento uma placa indicando a
distância até a cidade a que ele se destina, onde está
escrito 50 mi e XX km, com o valor da distância em
quilômetro ilegível
Qual o valor, desprezando as casas decimais, que
deveria estar escrito na placa, para identificar a
distância XX, em quilômetro, até a cidade destino?

os
03
es
o 3%
e 85

","687,2789859771729","846,2111949920654","60,92"
