"items.a","items.b","items.g","items.u","means","F1"
2.35085,0.97529,0.18771,1,0,1
1.35187,2.42336,0.15877,1,0,1
0.89154,1.16465,0.25916,1,0,1
2.69328,3.31034,0.04631,1,0,1
1.46307,2.90397,0.16934,1,0,1
0.94342,-0.40779,0.19983,1,0,1
1.93769,2.20182,0.14334,1,0,1
2.27407,1.97371,0.1809,1,0,1
2.66849,2.34035,0.0811,1,0,1
2.06279,1.35535,0.21845,1,0,1
2.73592,2.55633,0.10295,1,0,1
3.25442,1.5772,0.1355,1,0,1
2.26058,1.88581,0.08167,1,0,1
2.96283,2.44795,0.21497,1,0,1
1.23644,3.86545,0.18943,1,0,1
2.10051,1.96574,0.2059,1,0,1
1.08432,0.84339,0.01494,1,0,1
1.84956,3.07376,0.15515,1,0,1
1.8075,2.52222,0.20343,1,0,1
2.31216,0.44069,0.18915,1,0,1
1.92882,2.59593,0.26714,1,0,1
1.85035,2.98633,0.21663,1,0,1
2.79462,1.74029,0.0822,1,0,1
1.82335,1.38103,0.13879,1,0,1
1.98101,1.698,0.088,1,0,1
2.04724,1.08171,0.1794,1,0,1
3.53913,1.54995,0.19735,1,0,1
1.41349,2.47483,0.26937,1,0,1
2.06629,3.8013,0.12848,1,0,1
3.77336,2.88467,0.17343,1,0,1
2.83889,1.93199,0.25173,1,0,1
1.7605,2.08077,0.18072,1,0,1
3.76775,2.42062,0.20831,1,0,1
1.50255,2.16194,0.08889,1,0,1
2.74932,1.3515,0.18733,1,0,1
1.4909,3.45729,0.09597,1,0,1
1.45002,0.98124,0.20846,1,0,1
1.50625,1.98946,0.20665,1,0,1
1.44209,1.37865,0.14881,1,0,1
2.59667,1.34028,0.15449,1,0,1
1.63837,2.68497,0.14392,1,0,1
2.96735,2.38952,0.16802,1,0,1
1.11894,0.27904,0.19659,1,0,1
1.63915,2.13806,0.1433,1,0,1
2.78017,0.90583,0.12599,1,0,1
