CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto
77,CH,97979,B,"30,0",0,,"1,63948","3,22867","0,14221",AMARELA,PROVA AMARELA,,"0,0",2020,"827,7099132537842","865,5827045440674","982,1741580963136","57,11"
23,CH,40827,B,"18,0",0,,"2,872","0,87565","0,15092",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"589,9350643157959","611,6764545440674","678,292989730835","57,55"
61,CH,112146,E,"26,0",0,,"1,56585","-0,12884","0,20389",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2020,"486,74988746643066","528,1417369842529","651,0751247406006","60,19"
80,CH,96354,E,"14,0",0,,"3,92803","1,08796","0,09238",Amarela,PROVA AMARELA,,"0,0",2018,"612,3631000518799","627,7196407318115","676,1424541473389","54,62"
57,CH,87040,A,"5,0",0,,"3,86355","0,08927","0,13133",AMARELA,PROVA AMARELA,,"0,0",2020,"511,3403797149658","527,3025035858154","576,7219066619873","56,57"
46,CH,141030,E,"16,0",0,,"3,15825","0,30776","0,14196",AMARELA,PROVA AMARELA,,"0,0",2022,"533,2987308502197","552,9587268829346","613,4788990020752","57,1"
50,CH,118048,B,"4,0",0,,"2,46307","1,56036","0,08967",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"661,8540287017822","686,3038539886475","763,5109424591064","54,48"
33,CH,84192,D,"17,0",0,,"2,19559","1,6262","0,15363",AMARELA,PROVA AMARELA,,"0,0",2017,"665,5590534210205","694,0476894378662","781,2135219573975","57,68"
33,CH,82519,B,"29,0",0,,"2,86771","1,13694","0,20452",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"613,4598255157471","636,0738277435303","703,2029628753662","60,23"
50,CH,87862,C,"2,0",0,,"1,95212","0,2234","0,17538",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2022,"524,1386890411377","556,6565990447998","654,9303531646729","58,77"
73,CH,63343,B,"24,0",0,,"1,6559","1,87439","0,19625",AMARELA,PROVA AMARELA,,"0,0",2020,"687,7701282501221","726,6871929168701","842,8256511688232","59,81"
20,CH,7962,A,"2,0",0,,"0,72218","0,54027","0,23758",AMARELA,PROVA AMARELA,,"0,0",2017,"545,9897518157959","638,2434368133545","905,961275100708","61,88"
73,CH,63343,B,"24,0",0,,"1,6559","1,87439","0,19625",AMARELA,PROVA AMARELA,,"0,0",2020,"687,7701282501221","726,6871929168701","842,8256511688232","59,81"
89,CH,83733,C,"7,0",0,,"4,79502","1,23908","0,18538",Amarela,PROVA AMARELA,,"0,0",2018,"624,3484020233154","637,6807689666748","677,7350902557373","59,27"
59,CH,87053,D,"21,0",0,,"3,2102","1,04328","0,12362",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"607,5303554534912","626,6539096832275","686,084508895874","56,18"
74,CH,88342,A,"15,0",0,,"1,63154","1,32755","0,10703",AMARELA,PROVA AMARELA,,,2021,"640,2890682220459","677,5586605072021","794,3027019500732","55,35"
14,CH,54060,B,"12,0",0,,"1,34111","1,25968","0,22337",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"623,3279705047607","672,4135875701904","816,3039684295654","61,17"
75,CH,140643,B,"6,0",0,,"2,21197","1,4236","0,21778",AMARELA,PROVA AMARELA,,"0,0",2022,"641,1497592926025","670,7756519317627","757,953405380249","60,89"
83,CH,88308,C,"3,0",0,,"1,40104","1,15692","0,09673",Amarela,PROVA AMARELA,,"0,0",2019,"625,3354549407959","668,4868335723877","804,3043613433838","54,84"
67,CH,40158,D,"22,0",0,,"1,64192","-0,5206","0,20366",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"447,61109352111816","487,0789051055908","604,3140888214111","60,18"
79,CH,84269,E,"12,0",0,,"2,31975","1,58949","0,11892",AMARELA,PROVA AMARELA,,"0,0",2020,"663,6302471160889","690,0207996368408","772,2251415252686","55,95"
10,CH,18350,C,"3,0",0,,"1,68323","0,11244","0,20383",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"510,908842086792","549,4134426116943","663,7732982635498","60,19"
62,CH,83812,E,"23,0",0,,"2,08302","0,77228","0,17151",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"579,1704654693604","609,5616817474365","701,6198635101318","58,58"
72,CH,87217,E,"13,0",0,,"3,91544","1,06044","0,15819",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"607,5375080108643","623,5616207122803","672,4636554718018","57,91"
49,CH,111917,C,"26,0",0,,"1,72233","0,22539","0,22096",AMARELA,PROVA AMARELA,,"0,0",2020,"520,7006931304932","558,8452816009521","670,8519458770752","61,05"
65,CH,88194,E,"19,0",0,,"1,35668","1,69195","0,10234",Amarela,PROVA AMARELA,,"0,0",2019,"678,6673069000244","723,3684062957764","863,701581954956","55,12"
76,CH,112084,E,"8,0",0,,"3,21414","1,1317","0,10829",AMARELA,PROVA AMARELA,,,2021,"616,9478893280029","635,878324508667","695,1467990875244","55,41"
57,CH,111844,E,"11,0",0,,"2,33881","0,22143","0,04965",Amarela,PROVA AMARELA,,"0,0",2019,"530,1682949066162","555,3977489471436","636,4219188690186","52,48"
59,CH,82135,A,"8,0",0,,"2,2809","1,5656","0,25303",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"652,8918743133545","682,5058460235596","767,4543857574463","62,65"
89,CH,118052,B,"20,0",0,,"1,56596","0,79905","0,14769",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"584,5205783843994","624,3126392364502","746,4473247528076","57,38"
73,CH,82271,E,"19,0",0,,"1,36626","0,46627","0,1949",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"547,1723079681396","594,2909717559814","735,0270748138428","59,74"
53,CH,111947,B,"25,0",0,,"1,85179","0,16222","0,24226",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2022,"512,6755237579346","548,8007068634033","653,273344039917","62,11"
90,CH,141124,C,"28,0",0,,"1,88304","0,18672","0,20043",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2022,"518,6383724212646","552,9682636260986","655,1496982574463","60,02"
47,CH,45217,D,"22,0",0,,"3,55293","1,2341","0,18404",AMARELA,PROVA AMARELA,,"0,0",2020,"624,0575313568115","642,0342922210693","696,0837841033936","59,2"
80,CH,125885,B,"27,0",0,,"3,46336","0,36928","0,17747",AMARELA,PROVA AMARELA,,,2021,"537,8596782684326","556,2131404876709","611,619234085083","58,87"
17,CH,83836,E,"4,0",0,,"4,42165","0,96735","0,16352",AMARELA,PROVA AMARELA,,"0,0",2017,"597,8958606719971","612,1366024017334","655,4644107818604","58,18"
86,CH,111841,E,"10,0",0,,"3,42899","1,44729","0,1808",Amarela,PROVA AMARELA,,"0,0",2018,"645,5342769622803","664,116621017456","720,0973033905029","59,04"
9,CH,24292,A,"4,0",0,,"3,69706","0,41133","0,19062",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"541,5027141571045","558,8595867156982","610,8419895172119","59,53"
69,CH,95752,E,"9,0",0,,"1,59757","1,3002","0,05839",Amarela,PROVA AMARELA,,"0,0",2018,"641,1807537078857","678,2739162445068","796,9777584075928","52,92"
84,CH,140721,E,"5,0",0,,"0,81842","0,92559","0,02544",AMARELA,PROVA AMARELA,,"0,0",2022,"618,5882091522217","689,8753643035889","920,9601879119872","51,27"
56,CH,125654,E,"14,0",0,,"1,49576","0,47561","0,01589",AMARELA,PROVA AMARELA,,"0,0",2022,"562,4501705169678","601,2909412384033","727,6360988616943","50,79"
58,CH,111912,E,"1,0",0,,"1,63342","3,51778","0,12276",AMARELA,PROVA AMARELA,,"0,0",2020,"858,1368923187256","895,7021236419678","1012,4914646148682","56,14"
35,CH,26740,A,"16,0",0,,"1,64622","0,80634","0,21704",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"579,0774822235107","618,8600063323975","735,985517501831","60,85"
76,CH,112034,A,"11,0",0,,"1,73376","0,58793","0,16204",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"561,86842918396","598,1485843658447","708,6341381072998","58,1"
87,CH,96407,A,"1,0",0,,"1,78715","1,35975","0,17387",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"638,0574703216553","673,5389232635498","780,8654308319092","58,69"
