CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
1;CH;75846;D;24;Humanas Azul REGULAR;0;;1.23667;0.4354;0.21483;Azul;0;2019;1;0;N/A;543.5340404510498;630.3517818450928;895.3301906585693;60.74;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75846.png
1;CN;56701;C;1;Natureza Rosa REGULAR;0;;1.11507;3.52599;0.19316;Rosa;0;2019;1;0;N/A;852.6079654693604;952.1405696868896;1245.2261447906494;59.66;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56701.png
1;LC;92569;A;1;Linguagens Branca REGULAR;0;;1.94848;0.94496;0.39213;Branca;0;2019;1;0;N/A;594.5079326629639;631.0694217681885;804.4426441192627;69.61;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/92569.png
1;MT;81289;B;7;Matemática Amarela REGULAR;0;;0.91625;0.96155;0.22919;Amarela;0;2019;1;0;N/A;596.1577892303467;710.6153964996338;1068.92991065979;61.46;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/81289.png
2;CH;79764;A;17;Humanas Azul REGULAR;0;;2.55967;1.90974;0.23791;Azul;0;2019;1;0;N/A;690.9840106964111;731.3435077667236;859.7557544708252;61.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79764.png
2;CN;90399;A;2;Natureza Rosa REGULAR;0;;1.77273;3.29613;0.19442;Rosa;0;2019;1;0;N/A;829.6101093292236;892.1091556549072;1076.4901638031006;59.72;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/90399.png
2;LC;72272;D;24;Linguagens Branca REGULAR;0;;1.47891;1.9966;0.07271;Branca;0;2019;1;0;N/A;699.6719837188721;786.9546413421631;1005.2125453948975;53.64;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/72272.png
2;MT;79448;A;16;Matemática Amarela REGULAR;0;;1.0292;3.7191;0.23625;Amarela;0;2019;1;0;N/A;871.8984127044678;972.5992679595947;1291.8941974639893;61.81;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79448.png
3;CH;57654;B;3;Humanas Azul REGULAR;0;;0.82006;0.13285;0.23264;Azul;0;2019;1;0;N/A;513.2715702056885;640.4321193695068;1040.9610271453857;61.63;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57654.png
3;CN;91878;A;3;Natureza Rosa REGULAR;1;Problemas na convergencia;;;;Rosa;0;2019;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/91878.png
3;LC;92816;B;3;Linguagens Branca REGULAR;0;;1.63892;0.0455;0.32325;Branca;0;2019;1;0;N/A;504.54068183898926;557.5530529022217;760.8048915863037;66.16;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/92816.png
3;MT;89606;A;10;Matemática Amarela REGULAR;0;;2.08561;2.68731;0.37515;Amarela;0;2019;1;0;N/A;768.7394618988037;804.8551082611084;966.2168025970459;68.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/89606.png
4;CH;35899;C;4;Humanas Azul REGULAR;0;;1.26558;0.25366;0.24412;Azul;0;2019;1;0;N/A;525.3832340240479;606.1379909515381;866.0786151885986;62.21;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35899.png
4;CN;35408;D;4;Natureza Rosa REGULAR;0;;1.0418;2.72175;0.19185;Rosa;0;2019;1;0;N/A;772.1631526947021;878.9222240447998;1192.5737857818604;59.59;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35408.png
4;LC;79706;C;4;Linguagens Branca REGULAR;0;;0.61267;2.60104;0.00652;Branca;0;2019;1;0;N/A;760.1301670074463;985.0399494171143;1509.0410709381104;50.33;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79706.png
4;MT;117356;D;30;Matemática Amarela REGULAR;1;Problemas na convergencia;;;;Amarela;0;2019;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117356.png
5;CH;57227;C;23;Humanas Azul REGULAR;0;;1.35306;1.65844;0.20187;Azul;0;2019;1;0;N/A;665.8308506011963;746.807336807251;988.5995388031006;60.09;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57227.png
5;CN;94194;D;5;Natureza Rosa REGULAR;1;Problemas na convergencia;;;;Rosa;0;2019;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94194.png
5;LC;80935;B;5;Linguagens Branca REGULAR;0;;0.62785;1.37098;0.19771;Branca;0;2019;1;0;N/A;637.1347904205322;812.6847743988037;1333.498239517212;59.89;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/80935.png
5;MT;79926;A;24;Matemática Amarela REGULAR;0;;0.8453;1.06546;0.15514;Amarela;0;2019;1;0;N/A;606.5623760223389;745.0430393218994;1129.9912929534912;57.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79926.png
6;CH;56581;B;6;Humanas Azul REGULAR;0;;1.12164;1.83478;0.25516;Azul;0;2019;1;0;N/A;683.488130569458;772.8259563446045;1066.5838718414307;62.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56581.png
6;CN;58710;B;6;Natureza Rosa REGULAR;1;Problemas na convergencia;;;;Rosa;0;2019;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58710.png
6;LC;58486;D;7;Linguagens Branca REGULAR;0;;1.18055;1.28398;0.1536;Branca;0;2019;1;0;N/A;628.399133682251;727.7672290802002;1003.3528804779053;57.68;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58486.png
6;MT;117336;D;6;Matemática Amarela REGULAR;0;;0.61466;-0.05202;0.01494;Amarela;0;2019;1;0;N/A;494.81797218322754;717.2696590423584;1239.9117946624756;50.75;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117336.png
7;CH;35976;B;26;Humanas Azul REGULAR;0;;0.6476;1.4357;0.23886;Azul;0;2019;1;0;N/A;643.5458660125732;802.8738498687744;1310.4956150054932;61.94;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35976.png
7;CN;35313;A;7;Natureza Rosa REGULAR;0;;0.91441;3.3942;0.13457;Rosa;0;2019;1;0;N/A;839.428186416626;970.8826541900635;1325.9642124176025;56.73;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35313.png
7;LC;57400;C;7;Linguagens Branca REGULAR;0;;1.4613;1.37593;0.19539;Branca;0;2019;1;0;N/A;637.5949382781982;713.2976055145264;937.0009899139404;59.77;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57400.png
7;MT;75647;D;2;Matemática Amarela REGULAR;0;;0.84556;1.45388;0.15797;Amarela;0;2019;1;0;N/A;645.3959941864014;783.3235263824463;1168.269395828247;57.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75647.png
8;CH;56402;B;8;Humanas Azul REGULAR;0;;1.05102;2.23698;0.20431;Azul;0;2019;1;0;N/A;723.7188816070557;827.5406360626221;1138.9105319976807;60.22;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56402.png
8;CN;79953;B;8;Natureza Rosa REGULAR;0;;0.56035;2.44599;0.24024;Rosa;0;2019;1;0;N/A;744.5805072784424;928.2677173614502;1515.0396823883057;62.01;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79953.png
8;LC;73321;C;7;Linguagens Branca REGULAR;0;;1.00523;1.78433;0.29287;Branca;0;2019;1;0;N/A;678.4121990203857;770.9949016571045;1100.663423538208;64.64;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/73321.png
8;MT;87599;B;18;Matemática Amarela REGULAR;1;Problemas na convergencia;;;;Amarela;0;2019;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/87599.png
9;CH;35533;A;9;Humanas Azul REGULAR;0;;1.1593;1.55698;0.2951;Azul;0;2019;1;0;N/A;655.72190284729;735.5778217315674;1021.5370655059814;64.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35533.png
9;CN;117118;C;9;Natureza Rosa REGULAR;0;;0.4753;2.09743;0.5;Rosa;0;2019;1;0;N/A;709.7427845001221;795.0513362884521;1528.5556316375732;75.0;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117118.png
9;LC;57698;D;9;Linguagens Branca REGULAR;0;;1.84123;1.75024;0.30689;Branca;0;2019;1;0;N/A;675.0099658966064;724.0359783172607;904.44016456604;65.34;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57698.png
9;MT;117289;C;3;Matemática Amarela REGULAR;0;;0.75501;2.07187;0.19967;Amarela;0;2019;1;0;N/A;707.1630954742432;852.7700901031494;1285.9694957733154;59.98;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117289.png
10;CH;94063;D;10;Humanas Azul REGULAR;0;;0.51662;2.41648;0.16091;Azul;0;2019;1;0;N/A;741.6884899139404;966.5195941925049;1596.7719554901123;58.05;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94063.png
10;CN;80876;C;10;Natureza Rosa REGULAR;0;;0.88601;1.94336;0.47956;Rosa;0;2019;1;0;N/A;694.3528652191162;747.5392818450928;1138.200044631958;73.98;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/80876.png
10;LC;93391;A;9;Linguagens Branca REGULAR;0;;2.11567;1.0578;0.10685;Branca;0;2019;1;0;N/A;605.7755947113037;664.5290851593018;817.5771236419678;55.34;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/93391.png
10;MT;117285;B;14;Matemática Amarela REGULAR;0;;1.73112;2.49988;0.26999;Amarela;0;2019;1;0;N/A;749.9902248382568;806.2856197357178;997.0347881317139;63.5;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117285.png
11;CH;74386;B;11;Humanas Azul REGULAR;0;;1.17763;1.15017;0.15966;Azul;0;2019;1;0;N/A;615.0047779083252;713.8316631317139;990.2827739715576;57.98;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74386.png
11;CN;117114;D;11;Natureza Rosa REGULAR;0;;0.50249;-1.09479;0.04386;Rosa;0;2019;1;0;N/A;390.49553871154785;655.1854610443115;1295.973539352417;52.19;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117114.png
11;LC;58602;D;10;Linguagens Branca REGULAR;0;;1.82713;0.64131;0.08942;Branca;0;2019;1;0;N/A;564.1286373138428;633.5155963897705;810.443639755249;54.47;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58602.png
11;MT;94601;C;4;Matemática Amarela REGULAR;0;;1.06626;1.64428;0.24495;Amarela;0;2019;1;0;N/A;664.4408702850342;760.1587772369385;1068.7248706817627;62.25;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94601.png
12;CH;76233;B;12;Humanas Azul REGULAR;0;;1.05011;-0.55845;0.22285;Azul;0;2019;1;0;N/A;444.14210319519043;545.0766086578369;857.4550151824951;61.14;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/76233.png
12;CN;117127;B;12;Natureza Rosa REGULAR;0;;1.23646;1.52153;0.10038;Rosa;0;2019;1;0;N/A;652.1575450897217;753.4282207489014;1015.1426792144775;55.02;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117127.png
12;LC;57142;A;22;Linguagens Branca REGULAR;0;;0.78424;0.7938;0.00257;Branca;0;2019;1;0;N/A;579.3874263763428;755.7384967803955;1164.9816036224365;50.13;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57142.png
12;MT;59090;A;19;Matemática Amarela REGULAR;0;;1.76318;2.6543;0.28516;Amarela;0;2019;1;0;N/A;765.4373645782471;819.0577030181885;1006.7765712738037;64.26;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/59090.png
13;CH;56510;C;13;Humanas Azul REGULAR;0;;0.90585;1.18718;0.1871;Azul;0;2019;1;0;N/A;618.7455654144287;742.3465251922607;1102.8640270233154;59.36;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56510.png
13;CN;35333;B;13;Natureza Rosa REGULAR;0;;0.6717;1.55311;0.18713;Rosa;0;2019;1;0;N/A;655.3356647491455;822.028398513794;1308.2234859466553;59.36;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35333.png
13;LC;79691;B;12;Linguagens Branca REGULAR;1;Problemas na convergencia;;;;Branca;0;2019;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79691.png
13;MT;117428;B;8;Matemática Amarela REGULAR;0;;3.49732;2.56351;0.3732;Amarela;0;2019;1;0;N/A;756.3512325286865;778.0258655548096;874.2110729217529;68.66;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117428.png
14;CH;75441;D;25;Humanas Azul REGULAR;0;;1.08615;0.9724;0.24833;Azul;0;2019;1;0;N/A;597.2568988800049;690.654993057251;993.7160015106201;62.42;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75441.png
14;CN;94008;C;14;Natureza Rosa REGULAR;0;;1.28101;0.74143;0.20568;Rosa;0;2019;1;0;N/A;574.1279125213623;659.1622829437256;914.6730899810791;60.28;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94008.png
14;LC;94341;D;16;Linguagens Branca REGULAR;0;;0.75932;1.37148;0.00381;Branca;0;2019;1;0;N/A;637.1443271636963;819.0886974334717;1241.802453994751;50.19;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94341.png
