CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;TP_LINGUA;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
10;CN;35316;D;H10;Natureza Rosa REGULAR;0;;0.72936;0.8028;0.16825;Rosa;;0;2020;1;0;N/A;580.2624225616455;737.9763126373291;1184.7631931304932;58.41;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35316.png
17;CN;35339;A;H17;Natureza Rosa REGULAR;0;;0.49351;2.00662;0.22569;Rosa;;0;2020;1;0;N/A;700.6137371063232;914.4060611724854;1579.345941543579;61.28;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35339.png
38;MT;35350;C;H16;Matemática Amarela REGULAR;0;;1.70913;0.69221;0.15387;Amarela;;0;2020;1;0;N/A;569.2117214202881;637.8333568572998;828.1939029693604;57.69;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35350.png
30;CN;35371;C;H30;Natureza Rosa REGULAR;0;;0.76497;0.69392;0.20462;Rosa;;0;2020;1;0;N/A;569.3857669830322;711.9958400726318;1139.8165225982666;60.23;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35371.png
40;MT;35392;C;H2;Matemática Amarela REGULAR;0;;1.66076;0.9807;0.14945;Amarela;;0;2020;1;0;N/A;598.0627536773682;669.0924167633057;864.9032115936279;57.47;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35392.png
28;CN;35432;C;H28;Natureza Rosa REGULAR;0;;1.2242;1.25144;0.15445;Rosa;;0;2020;1;0;N/A;625.1351833343506;720.862627029419;986.6468906402588;57.72;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35432.png
32;CH;35515;C;H2;Humanas Azul REGULAR;0;;1.07458;1.8232;0.18359;Azul;;0;2020;1;0;N/A;682.3222637176514;787.0666980743408;1090.8524990081787;59.18;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35515.png
34;CH;35523;D;H5;Humanas Azul REGULAR;0;;1.00178;0.41208;0.26663;Azul;;0;2020;1;0;N/A;541.1999225616455;639.1232013702393;968.5819149017334;63.33;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35523.png
24;LC;35858;A;H1;Linguagens Branco REGULAR;0;;1.03051;0.64365;0.23458;Branco;;0;2020;1;0;N/A;564.3694400787354;665.2133464813232;984.0290546417236;61.73;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35858.png
25;LC;35860;D;H19;Linguagens Branco REGULAR;0;;0.72625;3.20655;0.5;Branco;;0;2020;1;0;N/A;820.655107498169;876.4855861663818;1356.5342426300049;75.0;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35860.png
