CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,CO_PROVA,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,TP_CERTIFICACAO,IN_ITEM_ADAPTADO
3,LP,35087,C,3,201827,0,,1.15279,1.80913,0.22156,Cinza,1,0
19,LP,35087,C,3,201819,0,,1.15279,1.80913,0.22156,Cinza,1,0
24,MA,35100,A,2,201818,0,,1.89657,2.27825,0.23845,Amarela,1,0
8,MA,35100,A,2,201826,0,,1.89657,2.27825,0.23845,Amarela,1,0
2,MA,35103,B,5,201826,0,,0.57491,2.18115,0.33153,Amarela,1,0
30,MA,35103,B,5,201818,0,,0.57491,2.18115,0.33153,Amarela,1,0
27,MA,35109,C,8,201818,0,,0.59401,0.88346,0.23483,Amarela,1,0
3,MA,35109,C,8,201826,0,,0.59401,0.88346,0.23483,Amarela,1,0
1,MA,35111,B,7,201806,0,,0.98717,1.40662,0.19189,Amarela,1,1
1,MA,35111,B,7,201802,0,,0.98717,1.40662,0.19189,Amarela,1,0
25,MA,35113,B,11,201826,0,,1.47942,1.88103,0.22201,Amarela,1,0
7,MA,35113,B,11,201818,0,,1.47942,1.88103,0.22201,Amarela,1,0
11,HG,35129,D,17,201820,0,,1.86723,0.88307,0.17151,Azul,1,0
18,HG,35129,D,17,201828,0,,1.86723,0.88307,0.17151,Azul,1,0
2,HG,35134,B,2,201804,0,,1.54577,1.10618,0.17636,Azul,1,0
2,HG,35134,B,2,201808,0,,1.54577,1.10618,0.17636,Azul,1,1
12,HG,35135,C,22,201828,0,,0.83456,3.061,0.26878,Azul,1,0
6,HG,35135,C,22,201820,0,,0.83456,3.061,0.26878,Azul,1,0
4,CI,35139,A,20,201825,0,,0.60109,0.31905,0.16395,Rosa,1,0
24,CI,35139,A,20,201817,0,,0.60109,0.31905,0.16395,Rosa,1,0
20,MA,35154,C,16,201818,0,,1.39061,1.54589,0.26024,Amarela,1,0
21,MA,35154,C,16,201826,0,,1.39061,1.54589,0.26024,Amarela,1,0
24,MA,35160,C,19,201826,0,,1.10578,3.12982,0.20532,Amarela,1,0
6,MA,35160,C,19,201818,0,,1.10578,3.12982,0.20532,Amarela,1,0
22,MA,35161,D,20,201818,0,,1.92907,1.87887,0.21466,Amarela,1,0
23,MA,35161,D,20,201826,0,,1.92907,1.87887,0.21466,Amarela,1,0
17,MA,35162,B,21,201826,0,,0.80313,2.6277,0.24931,Amarela,1,0
13,MA,35162,B,21,201818,0,,0.80313,2.6277,0.24931,Amarela,1,0
7,MA,35163,A,22,201826,0,,0.7881,1.07573,0.1423,Amarela,1,0
23,MA,35163,A,22,201818,0,,0.7881,1.07573,0.1423,Amarela,1,0
13,CI,35167,C,25,201817,0,,1.18619,2.87671,0.29408,Rosa,1,0
17,CI,35167,C,25,201825,0,,1.18619,2.87671,0.29408,Rosa,1,0
10,CI,35170,B,4,201801,0,,1.01283,2.03422,0.18465,Rosa,1,0
10,CI,35170,B,4,201805,0,,1.01283,2.03422,0.18465,Rosa,1,1
12,CI,35176,B,4,201817,0,,1.42774,1.57521,0.20624,Rosa,1,0
23,CI,35176,B,4,201825,0,,1.42774,1.57521,0.20624,Rosa,1,0
11,MA,35190,C,29,201826,0,,0.86593,1.61077,0.30261,Amarela,1,0
18,MA,35190,C,29,201818,0,,0.86593,1.61077,0.30261,Amarela,1,0
30,LP,35214,B,29,201827,0,,1.35768,1.04825,0.29069,Cinza,1,0
1,LP,35214,B,29,201819,0,,1.35768,1.04825,0.29069,Cinza,1,0
13,MA,35215,C,6,201826,0,,0.96725,1.62195,0.13316,Amarela,1,0
8,MA,35215,C,6,201818,0,,0.96725,1.62195,0.13316,Amarela,1,0
3,LP,35217,D,1,201819,0,,1.23448,0.28603,0.21523,Cinza,1,0
1,LP,35217,D,1,201827,0,,1.23448,0.28603,0.21523,Cinza,1,0
6,HG,35233,D,11,201828,0,,0.88912,1.34833,0.19238,Azul,1,0
15,HG,35233,D,11,201820,0,,0.88912,1.34833,0.19238,Azul,1,0
13,HG,35236,C,13,201820,0,,0.63428,0.67573,0.20961,Azul,1,0
15,HG,35236,C,13,201828,0,,0.63428,0.67573,0.20961,Azul,1,0
7,CI,35252,A,16,201817,0,,0.78174,0.56783,0.2293,Rosa,1,0
26,CI,35252,A,16,201825,0,,0.78174,0.56783,0.2293,Rosa,1,0
23,LP,35258,C,9,201819,0,,0.90046,1.47402,0.19218,Cinza,1,0
9,LP,35258,C,9,201827,0,,0.90046,1.47402,0.19218,Cinza,1,0
12,MA,35284,A,13,201826,0,,1.20388,2.45169,0.26083,Amarela,1,0
19,MA,35284,A,13,201818,0,,1.20388,2.45169,0.26083,Amarela,1,0
15,MA,35289,C,15,201826,0,,2.21964,1.68634,0.2207,Amarela,1,0
15,MA,35289,C,15,201818,0,,2.21964,1.68634,0.2207,Amarela,1,0
29,CI,35294,B,7,201817,0,,0.4694,-0.01009,0.16906,Rosa,1,0
27,CI,35294,B,7,201825,0,,0.4694,-0.01009,0.16906,Rosa,1,0
5,CN,35308,B,2,201829,0,,1.35779,2.13966,0.22112,Rosa,2,0
29,CN,35308,B,2,201821,0,,1.35779,2.13966,0.22112,Rosa,2,0
6,CN,35312,B,6,201821,0,,0.87516,2.19817,0.19895,Rosa,2,0
23,CN,35312,B,6,201829,0,,0.87516,2.19817,0.19895,Rosa,2,0
18,CN,35313,A,7,201821,0,,0.91441,3.3942,0.13457,Rosa,2,0
15,CN,35313,A,7,201829,0,,0.91441,3.3942,0.13457,Rosa,2,0
5,CN,35315,A,9,201809,0,,1.41006,1.79995,0.19936,Rosa,2,0
5,CN,35315,A,9,201813,0,,1.41006,1.79995,0.19936,Rosa,2,1
13,MT,35319,A,1,201830,0,,0.84253,2.22836,0.21007,Amarela,2,0
17,MT,35319,A,1,201822,0,,0.84253,2.22836,0.21007,Amarela,2,0
5,MT,35326,B,8,201822,0,,1.71053,3.19225,0.31112,Amarela,2,0
25,MT,35326,B,8,201830,0,,1.71053,3.19225,0.31112,Amarela,2,0
11,MT,35327,C,9,201814,0,,0.67533,1.28366,0.24259,Amarela,2,1
11,MT,35327,C,9,201810,0,,0.67533,1.28366,0.24259,Amarela,2,0
2,MT,35329,A,11,201830,0,,1.47255,3.01605,0.21402,Amarela,2,0
26,MT,35329,A,11,201822,0,,1.47255,3.01605,0.21402,Amarela,2,0
4,CN,35333,B,13,201829,0,,0.6717,1.55311,0.18713,Rosa,2,0
28,CN,35333,B,13,201821,0,,0.6717,1.55311,0.18713,Rosa,2,0
2,CN,35338,A,16,201809,0,,0.50406,0.65683,0.11081,Rosa,2,0
2,CN,35338,A,16,201813,0,,0.50406,0.65683,0.11081,Rosa,2,1
26,CN,35343,A,21,201813,0,,0.81521,2.58793,0.22187,Rosa,2,1
26,CN,35343,A,21,201809,0,,0.81521,2.58793,0.22187,Rosa,2,0
9,CN,35345,A,23,201813,0,,1.92852,2.60674,0.16682,Rosa,2,1
9,CN,35345,A,23,201809,0,,1.92852,2.60674,0.16682,Rosa,2,0
2,MT,35356,D,17,201822,0,,1.15974,4.06053,0.15862,Amarela,2,0
28,MT,35356,D,17,201830,0,,1.15974,4.06053,0.15862,Amarela,2,0
18,MT,35359,D,21,201814,0,,0.94167,2.38921,0.18073,Amarela,2,1
18,MT,35359,D,21,201810,0,,0.94167,2.38921,0.18073,Amarela,2,0
30,MT,35363,B,23,201830,0,,0.80706,2.58214,0.33669,Amarela,2,0
3,MT,35363,B,23,201822,0,,0.80706,2.58214,0.33669,Amarela,2,0
7,CN,35374,D,29,201813,0,,1.56815,2.95498,0.27681,Rosa,2,1
7,CN,35374,D,29,201809,0,,1.56815,2.95498,0.27681,Rosa,2,0
9,CN,35381,D,5,201821,0,,1.17163,2.57449,0.16538,Rosa,2,0
21,CN,35381,D,5,201829,0,,1.17163,2.57449,0.16538,Rosa,2,0
21,MT,35396,D,6,201814,0,,1.67427,2.44855,0.28675,Amarela,2,1
21,MT,35396,D,6,201810,0,,1.67427,2.44855,0.28675,Amarela,2,0
1,CN,35402,C,12,201813,0,,1.1621,1.29769,0.23956,Rosa,2,1
1,CN,35402,C,12,201809,0,,1.1621,1.29769,0.23956,Rosa,2,0
18,CN,35408,D,4,201829,0,,1.0418,2.72175,0.19185,Rosa,2,0
11,CN,35408,D,4,201821,0,,1.0418,2.72175,0.19185,Rosa,2,0
11,MT,35413,B,9,201830,0,,1.34808,1.87926,0.26509,Amarela,2,0
19,MT,35413,B,9,201822,0,,1.34808,1.87926,0.26509,Amarela,2,0
18,MT,35416,A,12,201822,0,,1.68087,3.24766,0.20332,Amarela,2,0
14,MT,35416,A,12,201830,0,,1.68087,3.24766,0.20332,Amarela,2,0
