CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;TP_CERTIFICACAO;IN_ITEM_ADAPTADO
3;HG;35070;B;4;201726;0;;0.7985;-0.393;0.0445;Azul;1;0
9;HG;35070;B;4;201718;0;;0.7985;-0.393;0.0445;Azul;1;0
7;HG;35082;B;9;201718;0;;2.1674;0.6271;0.2522;Azul;1;0
9;HG;35082;B;9;201726;0;;2.1674;0.6271;0.2522;Azul;1;0
4;HG;35108;B;13;201718;0;;1.5569;1.9562;0.229;Azul;1;0
16;HG;35108;B;13;201726;0;;1.5569;1.9562;0.229;Azul;1;0
5;LP;35152;B;6;201727;0;;1.8196;2.2803;0.1122;Cinza;1;0
10;LP;35152;B;6;201719;0;;1.8196;2.2803;0.1122;Cinza;1;0
28;LP;35262;A;13;201719;0;;0.5856;1.2307;0.2626;Cinza;1;0
13;LP;35262;A;13;201727;0;;0.5856;1.2307;0.2626;Cinza;1;0
6;LP;35267;B;6;201703;0;;1.7087;2.7759;0.2277;Cinza;1;0
6;LP;35267;B;6;201707;0;;1.7087;2.7759;0.2277;Cinza;1;1
3;HG;35474;B;14;201718;0;;1.5034;1.273;0.2369;Azul;1;0
15;HG;35474;B;14;201726;0;;1.5034;1.273;0.2369;Azul;1;0
28;HG;35505;D;15;201726;0;;2.346;0.8578;0.2044;Azul;1;0
17;HG;35505;D;15;201718;0;;2.346;0.8578;0.2044;Azul;1;0
20;LP;35511;C;22;201719;0;;0.9222;-0.3536;0.2513;Cinza;1;0
22;LP;35511;C;22;201727;0;;0.9222;-0.3536;0.2513;Cinza;1;0
17;LP;35529;C;20;201719;0;;1.2589;1.3571;0.2771;Cinza;1;0
20;LP;35529;C;20;201727;0;;1.2589;1.3571;0.2771;Cinza;1;0
25;LP;35532;A;25;201707;0;;2.6099;0.4765;0.1817;Cinza;1;1
25;LP;35532;A;25;201703;0;;2.6099;0.4765;0.1817;Cinza;1;0
16;LP;35534;B;16;201727;0;;1.2492;1.4312;0.1496;Cinza;1;0
24;LP;35534;B;16;201719;0;;1.2492;1.4312;0.1496;Cinza;1;0
4;LP;35544;D;10;201719;0;;1.3437;0.2167;0.2874;Cinza;1;0
10;LP;35544;D;10;201727;0;;1.3437;0.2167;0.2874;Cinza;1;0
11;LP;35548;B;16;201727;0;;1.1169;0.6212;0.2305;Cinza;1;0
5;LP;35548;B;16;201719;0;;1.1169;0.6212;0.2305;Cinza;1;0
3;LP;35550;A;9;201719;0;;1.2841;0.2283;0.0837;Cinza;1;0
9;LP;35550;A;9;201727;0;;1.2841;0.2283;0.0837;Cinza;1;0
14;LP;35551;B;14;201727;0;;1.14;0.8482;0.1474;Cinza;1;0
8;LP;35551;B;14;201719;0;;1.14;0.8482;0.1474;Cinza;1;0
17;LC;35833;C;17;201723;0;;0.782;0.9061;0.216;Branco;2;0
14;LC;35833;C;17;201731;0;;0.782;0.9061;0.216;Branco;2;0
30;LC;35840;C;30;201731;0;;0.923;1.0994;0.22;Branco;2;0
3;LC;35840;C;30;201723;0;;0.923;1.0994;0.22;Branco;2;0
13;LC;35870;A;13;201731;0;;0.6509;1.4825;0.2439;Branco;2;0
18;LC;35870;A;13;201723;0;;0.6509;1.4825;0.2439;Branco;2;0
29;LC;35965;A;29;201731;0;;1.268;0.3628;0.1882;Branco;2;0
2;LC;35965;A;29;201723;0;;1.268;0.3628;0.1882;Branco;2;0
29;LP;37296;A;29;201703;0;;1.8674;0.9889;0.2291;Cinza;1;0
29;LP;37296;A;29;201707;0;;1.8674;0.9889;0.2291;Cinza;1;1
5;LC;37349;C;5;201731;0;;0.8586;1.6799;0.246;Branco;2;0
24;LC;37349;C;5;201723;0;;0.8586;1.6799;0.246;Branco;2;0
29;CH;38102;C;28;201722;0;;0.8674;1.1961;0.1974;Azul;2;0
29;CH;38102;C;28;201730;0;;0.8674;1.1961;0.1974;Azul;2;0
21;HG;38517;D;14;201706;0;;0.8807;1.7299;0.1504;Azul;1;1
21;HG;38517;D;14;201702;0;;0.8807;1.7299;0.1504;Azul;1;0
12;CN;39029;B;28;201709;0;;1.6216;2.6791;0.2699;Rosa;2;0
12;CN;39029;B;28;201713;0;;1.6216;2.6791;0.2699;Rosa;2;1
6;HG;39604;B;21;201718;0;;0.7366;0.2991;0.1911;Azul;1;0
22;HG;39604;B;21;201726;0;;0.7366;0.2991;0.1911;Azul;1;0
6;LC;39705;B;6;201711;0;;1.8446;1.7447;0.1661;Branco;2;0
6;LC;39705;B;6;201715;0;;1.8446;1.7447;0.1661;Branco;2;1
2;CN;41509;B;20;201729;0;;0.7257;4.1042;0.331;Rosa;2;0
20;CN;41509;B;20;201721;0;;0.7257;4.1042;0.331;Rosa;2;0
11;LC;41524;B;11;201711;0;;1.7788;0.4549;0.1712;Branco;2;0
11;LC;41524;B;11;201715;0;;1.7788;0.4549;0.1712;Branco;2;1
27;CI;41559;D;23;201701;0;;0.6088;1.6992;0.2448;Rosa;1;0
27;CI;41559;D;23;201705;0;;0.6088;1.6992;0.2448;Rosa;1;1
19;LP;41568;D;19;201707;0;;1.0771;0.9955;0.125;Cinza;1;1
19;LP;41568;D;19;201703;0;;1.0771;0.9955;0.125;Cinza;1;0
16;LP;41571;D;19;201719;0;;0.8655;1.519;0.2078;Cinza;1;0
19;LP;41571;D;19;201727;0;;0.8655;1.519;0.2078;Cinza;1;0
20;LP;41573;B;20;201707;0;;0.8212;2.3878;0.3004;Cinza;1;1
20;LP;41573;B;20;201703;0;;0.8212;2.3878;0.3004;Cinza;1;0
12;LC;41580;D;20;201723;0;;0.9465;0.8704;0.1943;Branco;2;0
20;LC;41580;D;20;201731;0;;0.9465;0.8704;0.1943;Branco;2;0
