CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,CO_PROVA,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,TP_CERTIFICACAO,IN_ITEM_ADAPTADO
1,CH,35979,A,15,201924,0,,1.10252,1.04029,0.20722,Azul,2,0
1,CH,57667,A,27,201932,0,,1.21632,1.58563,0.13729,Azul,2,0
1,CH,75846,D,24,201912,0,,1.23667,0.4354,0.21483,Azul,2,0
1,CH,75846,D,24,201916,0,,1.23667,0.4354,0.21483,Azul,2,1
1,CH,88186,B,6,201940,0,,2.06692,2.25497,0.11351,Azul,2,0
1,CI,92363,A,19,201925,0,,1.07117,-0.6464,0.05736,Rosa,1,0
1,CI,93005,D,28,201917,0,,0.98122,1.1431,0.06003,Rosa,1,0
1,CI,94603,D,11,201933,0,,1.08735,2.12806,0.13015,Rosa,1,0
1,CI,117065,D,1,201901,0,,1.24704,1.86388,0.24395,Rosa,1,0
1,CI,117065,D,1,201905,0,,1.24704,1.86388,0.24395,Rosa,1,1
1,CN,56701,C,1,201909,0,,1.11507,3.52599,0.19316,Rosa,2,0
1,CN,56701,C,1,201913,0,,1.11507,3.52599,0.19316,Rosa,2,1
1,CN,57225,A,8,201937,0,,0.83654,2.85142,0.14539,Rosa,2,0
1,CN,59372,B,14,201929,0,,3.2483,2.44641,0.15012,Rosa,2,0
1,CN,81037,C,24,201921,0,,1.09139,3.22012,0.29886,Rosa,2,0
1,HG,57741,D,24,201904,0,,0.19452,4.55559,0.16556,Azul,1,0
1,HG,57741,D,24,201908,0,,0.19452,4.55559,0.16556,Azul,1,1
1,HG,92140,A,12,201936,0,,0.4905,0.38115,0.09315,Azul,1,0
1,HG,92982,D,29,201928,0,,1.1448,0.6967,0.19719,Azul,1,0
1,HG,94050,D,11,201920,0,,1.89856,1.95673,0.28718,Azul,1,0
1,LC,38266,C,29,201931,0,,2.55564,1.31517,0.1986,Branca,2,0
1,LC,74906,B,17,201939,0,,1.77335,1.0595,0.05106,Branca,2,0
1,LC,92569,A,1,201911,0,,1.94848,0.94496,0.39213,Branca,2,0
1,LC,92569,A,1,201915,0,,1.94848,0.94496,0.39213,Branca,2,1
1,LC,93125,B,19,201923,0,,1.50395,1.38111,0.2169,Branca,2,0
1,LP,58878,C,2,201903,0,,0.87256,1.19469,0.23234,Cinza,1,0
1,LP,58878,C,2,201907,0,,0.87256,1.19469,0.23234,Cinza,1,1
1,LP,77205,A,19,201919,0,,0.90435,1.23523,0.24954,Cinza,1,0
1,LP,88459,D,28,201927,0,,1.44706,1.67619,0.12312,Cinza,1,0
1,LP,88827,C,17,201935,0,,0.18976,1.87205,0.05766,Cinza,1,0
1,MA,58001,D,10,201902,0,,0.77291,-0.34226,0.05564,Amarela,1,0
1,MA,58001,D,10,201906,0,,0.77291,-0.34226,0.05564,Amarela,1,1
1,MA,77815,A,18,201926,0,,2.04172,2.36574,0.23466,Amarela,1,0
1,MA,94029,C,1,201918,0,,1.63317,1.31807,0.2391,Amarela,1,0
1,MA,94610,C,9,201934,0,,0.1616,8.66607,0.20894,Amarela,1,0
1,MT,35359,D,21,201922,0,,0.94167,2.38921,0.18073,Amarela,2,0
1,MT,79276,C,25,201930,0,,1.11882,3.97892,0.20535,Amarela,2,0
1,MT,81289,B,7,201910,0,,0.91625,0.96155,0.22919,Amarela,2,0
1,MT,81289,B,7,201914,0,,0.91625,0.96155,0.22919,Amarela,2,1
1,MT,92836,A,30,201938,0,,2.93008,2.57272,0.08201,Amarela,2,0
2,CH,56502,B,29,201932,0,,1.00169,1.3923,0.18779,Azul,2,0
2,CH,56553,B,9,201940,0,,0.99284,1.76223,0.15383,Azul,2,0
2,CH,57547,C,16,201924,0,,1.24502,1.18776,0.14514,Azul,2,0
2,CH,79764,A,17,201912,0,,2.55967,1.90974,0.23791,Azul,2,0
2,CH,79764,A,17,201916,0,,2.55967,1.90974,0.23791,Azul,2,1
2,CI,57614,B,24,201933,0,,0.95746,1.43015,0.12257,Rosa,1,0
2,CI,79196,A,7,201925,0,,0.59893,3.10874,0.5,Rosa,1,0
2,CI,89853,B,13,201917,0,,0.67687,-0.69435,0.04688,Rosa,1,0
2,CI,117055,A,2,201901,0,,0.79782,0.24161,0.01316,Rosa,1,0
2,CI,117055,A,2,201905,0,,0.79782,0.24161,0.01316,Rosa,1,1
2,CN,58957,C,11,201929,0,,2.20902,1.39966,0.1642,Rosa,2,0
2,CN,90399,A,2,201909,0,,1.77273,3.29613,0.19442,Rosa,2,0
2,CN,90399,A,2,201913,0,,1.77273,3.29613,0.19442,Rosa,2,1
2,CN,90775,B,28,201937,0,,1.64057,1.39049,0.24378,Rosa,2,0
2,CN,94393,C,22,201921,0,,1.61166,0.63359,0.02503,Rosa,2,0
2,HG,75453,C,10,201904,0,,0.87269,1.44984,0.20631,Azul,1,0
2,HG,75453,C,10,201908,0,,0.87269,1.44984,0.20631,Azul,1,1
2,HG,92782,B,25,201928,0,,0.92887,1.21793,0.32893,Azul,1,0
2,HG,93295,B,16,201920,0,,0.53956,0.92827,0.04531,Azul,1,0
2,HG,94521,B,10,201936,0,,1.45915,2.64252,0.29082,Azul,1,0
2,LC,58315,C,30,201931,0,,0.81857,1.42933,0.119,Branca,2,0
2,LC,72272,D,24,201911,0,,1.47891,1.9966,0.07271,Branca,2,0
2,LC,72272,D,24,201915,0,,1.47891,1.9966,0.07271,Branca,2,1
2,LC,78947,D,22,201923,0,,1.63189,0.79603,0.00421,Branca,2,0
2,LC,93379,A,18,201939,0,,4.70753,1.33182,0.29833,Branca,2,0
2,LP,58418,B,2,201903,0,,1.90675,1.22535,0.1625,Cinza,1,0
2,LP,58418,B,2,201907,0,,1.90675,1.22535,0.1625,Cinza,1,1
2,LP,87644,C,18,201935,0,,1.6842,2.23223,0.12159,Cinza,1,0
2,LP,91883,C,27,201927,0,,0.29127,3.98529,0.18756,Cinza,1,0
2,LP,94278,A,16,201919,0,,1.64248,2.82028,0.14296,Cinza,1,0
2,MA,35583,A,24,201934,0,,1.01884,-0.14999,0.10418,Amarela,1,0
2,MA,77219,B,29,201902,0,,0.43946,4.26108,0.1174,Amarela,1,0
2,MA,77219,B,29,201906,0,,0.43946,4.26108,0.1174,Amarela,1,1
2,MA,94307,D,13,201918,0,,2.19411,2.42776,0.34415,Amarela,1,0
2,MA,94604,C,8,201926,1,bisblg < -0.15,,,,Amarela,1,0
2,MT,35396,D,6,201922,0,,1.67427,2.44855,0.28675,Amarela,2,0
