CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,CO_PROVA,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,TP_LINGUA,TP_CERTIFICACAO,IN_ITEM_ADAPTADO
31,HG,35063,C,H2,202020,0,,0.86184,-0.55261,0.18578,Azul,,1,0
31,HG,35063,C,H2,202044,0,,0.86184,-0.55261,0.18578,Azul,,1,0
32,HG,35068,B,H3,202044,0,,1.11212,0.2666,0.21313,Azul,,1,0
32,HG,35068,B,H3,202020,0,,1.11212,0.2666,0.21313,Azul,,1,0
16,CI,35069,A,H16,202041,0,,0.81666,0.58782,0.20324,Rosa,,1,0
16,CI,35069,A,H16,202017,0,,0.81666,0.58782,0.20324,Rosa,,1,0
8,CI,35073,B,H8,202017,0,,0.91306,1.60975,0.28608,Rosa,,1,0
8,CI,35073,B,H8,202041,0,,0.91306,1.60975,0.28608,Rosa,,1,0
9,CI,35075,D,H9,202017,0,,0.89564,1.6021,0.27494,Rosa,,1,0
9,CI,35075,D,H9,202041,0,,0.89564,1.6021,0.27494,Rosa,,1,0
12,CI,35079,A,H12,202041,0,,0.55942,-0.38945,0.2515,Rosa,,1,0
12,CI,35079,A,H12,202017,0,,0.55942,-0.38945,0.2515,Rosa,,1,0
37,HG,35084,C,H11,202044,0,,0.93924,1.44775,0.14081,Azul,,1,0
37,HG,35084,C,H11,202020,0,,0.93924,1.44775,0.14081,Azul,,1,0
7,LP,35094,D,H9,202043,0,,1.21858,1.24144,0.1673,Cinza,,1,0
7,LP,35094,D,H9,202019,0,,1.21858,1.24144,0.1673,Cinza,,1,0
31,MA,35099,D,H1,202018,0,,1.15157,3.67716,0.11838,Amarela,,1,0
31,MA,35099,D,H1,202042,0,,1.15157,3.67716,0.11838,Amarela,,1,0
30,LP,35104,C,H11,202019,0,,1.1662,2.0727,0.20486,Cinza,,1,0
30,LP,35104,C,H11,202043,0,,1.1662,2.0727,0.20486,Cinza,,1,0
15,CI,35118,C,H15,202001,0,,1.17047,-0.67562,0.18885,Rosa,,1,0
15,CI,35118,C,H15,202005,0,,1.17047,-0.67562,0.18885,Rosa - Ledor,,1,1
47,HG,35128,C,H16,202008,0,,1.025,3.17452,0.32177,Azul - Ledor,,1,1
47,HG,35128,C,H16,202004,0,,1.025,3.17452,0.32177,Azul,,1,0
19,CI,35137,D,H19,202041,0,,1.12409,-0.8222,0.23687,Rosa,,1,0
19,CI,35137,D,H19,202017,0,,1.12409,-0.8222,0.23687,Rosa,,1,0
2,LP,35151,B,H5,202019,0,,1.38269,1.14943,0.21291,Cinza,1,1,0
2,LP,35151,B,H5,202043,0,,1.38269,1.14943,0.21291,Cinza,1,1,0
27,CI,35169,D,H27,202017,0,,0.82215,0.33668,0.16174,Rosa,,1,0
27,CI,35169,D,H27,202041,0,,0.82215,0.33668,0.16174,Rosa,,1,0
1,CI,35173,D,H1,202017,0,,0.83378,2.71897,0.24532,Rosa,,1,0
1,CI,35173,D,H1,202041,0,,0.83378,2.71897,0.24532,Rosa,,1,0
42,MA,35179,B,H25,202042,0,,1.75561,2.24517,0.14202,Amarela,,1,0
42,MA,35179,B,H25,202018,0,,1.75561,2.24517,0.14202,Amarela,,1,0
56,MA,35182,D,H27,202018,0,,1.29433,2.09547,0.20648,Amarela,,1,0
