CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto
136,MT,11472,D,"12,0",0,,"2,63746","2,11088","0,28635",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"711,0922336578369",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/11472.png,"QUESTÃO 136  rrrrrrrrrrrrrororoorrroorrrr

Em regiões agrícolas, é comum a presença de silos
para armazenamento e secagem da produção de grãos,
no formato de um cilindro reto, sobreposto por um cone,
e dimensões indicadas na figura. O silo fica cheio e o
transporte dos grãos é feito em caminhões de carga cuja
capacidade é de 20 mº. Uma região possui um silo cheio
é apenas um caminhão para transportar os grãos para a
usina de beneficiamento.

Utilize 3 como aproximação para x
O número mínimo de viagens que o caminhão

precisará fazer para transportar todo o volume de grãos
armazenados no silo é

06
o 16
17
os
e 2
","746,8502521514893","872,3680973052979","64,32"
137,MT,18364,A,"11,0",0,,"2,81671","1,63196","0,30232",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"663,2034778594971",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/18364.png,"iai
Em uma empresa de móveis, um cliente encomenda

um guarda-roupa nas dimensões 220 cm de altura, 120 cm

de largura e 50 cm de profundidade. Alguns dias depois, o

projetista, com o desenho elaborado na escala 1 : 8, entra

em contato com o cliente para fazer sua apresentação.

No momento da impressão, o profissional percebe que

o desenho não caberia na folha de papel que costumava

usar. Para resolver o problema, configurou a impressora

para que a figura fosse reduzida em 20%.

Aaltura, a largura e a profundidade do desenho impresso

para a apresentação serão, respectivamente,

O 2200cm, 12,00 cme 5,00 cm

O 27.50cm, 15,00 cme 6,25cm

O 3437cm, 18,75cme 7.81 cm

O 3520cm, 19,20 cme 8,00 cm

O 44,00 cm, 24,00 cmee 10,00 cm
","695,5616474151611","813,3976459503174","65,12"
138,MT,30865,D,"10,0",0,,"1,78461","0,5442","0,17099",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"554,4202327728271",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/30865.png,"QUESTÃO 138

A London Eye é uma enorme roda-gigante na capital
inglesa. Por ser um dos monumentos construídos para
celebrar a entrada do terceiro milênio, ela também é
conhecida como Roda do Milênio. Um turista brasileiro,
em visita à Inglaterra, perguntou a um londrino o diâmetro
(destacado na imagem) da Roda do Milênio e ele
respondeu que ele tem 443 pés.

Dlponive em: wir mapaoloares rg Acess em: 1é mat 2015 (agapado,

Não habituado com a unidade pé, e querendo
satisfazer sua curiosidade, esse turista consultou um
manual de unidades de medidas e constatou que 1 pé
equivale a 12 polegadas, e que 1 polegada equivale a
2,54 cm. Após alguns cálculos de conversão, O turista
ficou surpreendido com o resultado obtido em metros.
Qual a medida que mais se aproxima do diâmetro da
Roda do Milênio, em metro?

53
E
m3
135
145
","618,6263561248779","801,281213760376","58,55"
139,MT,32686,C,"20,0",0,,"1,66308","1,89621","0,13493",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"689,6297931671143",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/32686.png,"QUESTÃO 139

Uma cisterna de 6 000 L foi esvaziada em um período
de 3 h. Na primeira hora foi utilizada apenas uma bomba,
mas nas duas horas seguintes, a fim de reduzir o tempo
de esvaziamento, outra bomba foi ligada junto com a
primeira. O gráfico, formado por dois segmentos de reta,
mostra o volume de água presente na cistema, em função
do tempo.

Volume (L)

emo
5000

c
o 1 3 Tempo(y)

Qual é a vazão, em litro por hora, da bomba que foi ligada
no início da segunda hora?

O 1000

O 1250

e 1500

O 2000

o 2500
","761,8706226348877","957,1115970611572","56,75"
140,MT,27005,C,"29,0",0,,"1,37969","1,86612","0,22417",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"686,6185665130615",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/27005.png,"QUESTÃO 140 Im""

O procedimento de perda rápida de “peso” é comum
entre os atletas dos esportes de combate. Para participar
de um torneio, quatro atletas da categoria até 66 kg.
Peso-Pena, foram submetidos a dietas balanceadas e
atividades fisicas. Realizaram três “pesagens” antes do
início do torneio. Pelo regulamento do tomeio, a primeira
luta deverá ocorrer entre o atleta mais regular e o menos
regular quanto aos “pesos”. As informações com base
nas pesagens dos atletas estão no quadro.

Elo
1 78 72 66 72 72 4,90

e [65 |6 |7 | 6 |849
7 | 70 | 65 | 70 | 70 | 408
w |eo |7 |e2 | 73 | 77 |787

Após as três ""pesagens”, os organizadores do torneio
informaram aos atietas quais deles se enfrentariam na
primeira luta.

A primeira luta foi entre os atietas
O lei

Ole.

O eim

O ley.

o elv.
","763,2582187652588","1001,0569095611572","61,21"
141,MT,85018,E,"17,0",0,,"1,63837","2,68497","0,14392",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"768,5081958770752",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85018.png,"O aaaaanaaa atas nea aaa
De forma geral, os pneus radiais trazem em
sua lateral uma marcação do tipo abcideRfg, como
185/65R15. Essa marcação identifica as medidas do
pneu da seguinte forma:
+ abo é a medida da largura do pneu, em milímetro;
+ de é igual ao produto de 100 pela razão entre a
medida da altura (em milímetro) e a medida da
largura do pneu (em milímetro);
* Reignifca radial;
+ fg é a medida do diâmetro interno do pneu, em
polegada

A figura ilustra as variáveis relacionadas com
esses dados.

ata

Dânem
áteno

Tama

O proprietário de um veículo precisa trocar os pneus
de seu carro e, ao chegar a uma loja, é informado
por um vendedor que há somente pneus com os
seguintes códigos: 175/65R15, 175/75R15, 175/80R15,
185/60R15 e 205/55R15. Analisando, juntamente com
o vendedor, as opções de pneus disponíveis, concluem
que o pneu mais adequado para seu veículo é o que
tem a menor altura.

Desta forma, o proprietário do veículo deverá comprar o
pneu com a marcação

205/55R15.
175165R15.
AT5IT5RAS.
175180R15.
185/60R15.

0000
","841,0065174102783","1039,3779277801514","57,2"
142,MT,32808,C,"8,0",0,,"1,07664","1,11684","0,13937",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"611,6907596588135",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/32808.png,"QUESTÃO 142

Uma família resolveu comprar um imóvel num bairro
cujas ruas estão representadas na figura. As ruas com
nomes de letras são paralelas entre si e perpendiculares.
às ruas identificadas com números. Todos os quarteirões
são quadrados, com as mesmas medidas, e todas as
ruas têm a mesma largura, permitindo caminhar somente
nas direções vertical e horizontal. Desconsidere a largura
das ruas.

EM

Rus B

543 3] 9] 7 3

A família pretende que esse imóvel tenha a mesma
distância de percurso até o local de trabalho da mãe,
localizado na rua 6 com a rua E, o consultório do pai,
na rua 2 com a rua E, e a escola das crianças, na rua 4
comaruaA,

Com base nesses dados, o imóvel que atende as
pretensões da família deverá ser localizado no encontro
das ruas
O 3ec
O 4ec
9 4eD
O ser
O sec

","722,6650714874268","1024,3933200836182","56,97"
143,MT,29844,B,"14,0",0,,"2,19275","2,46663","0,11939",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"746,66428565979",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/29844.png,"QUESTÃO 143

Um senhor, pai de dois filhos, deseja comprar dois
terrenos, com áreas de mesma medida, um para cada
flho. Um dos terrenos visitados já está demarcado e,
embora não tenha um formato convencional (como se
observa na Figura B), agradou ao filho mais velho e, por
isso, foi comprado. O filho mais novo possui um projeto
arquitetônico de uma casa que quer construir, mas, para
isso, precisa de um terreno na forma retangular (como
mostrado na Figura A) cujo comprimento seja 7 m maior
do que a largura.

Piuma Puma

Para satisfazer o filho mais novo, esse senhor precisa
encontrar um terreno retangular cujas medidas, em
metro, do comprimento e da largura sejam iguais,
respectivamente, a

75e 145
9,0€ 160.
93163
10,0€ 17,0.
135€ 20,5.

voo)
","802,513837814331","950,361967086792","55,97"
144,MT,53219,D,"29,0",0,,"1,57797","0,76944","0,09447",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"576,9340991973877",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/53219.png,"QUESTÃO 144

Preocupada com seus resultados, uma empresa fez
um balanço dos lucros obtidos nos últimos sete meses,
conforme dados do quadro.

Mês NESCOCARARIEO
(em milhões de reats) | 37 | 33 | 35 | 22 | 30 | 35 | 25

Avaliando os resultados, o conselho diretor da
empresa decidiu comprar, nos dois meses subsequentes,
a mesma quantidade de matéria-prima comprada no mês
em que o lucro mais se aproximou da média dos lucros
mensais dessa empresa nesse período de sete meses.
Nos próximos dois meses, essa empresa deverá comprar
a mesma quantidade de matéria-prima comprada no mês
","656,8329334259033","861,7918491363525","54,72"
145,MT,83608,E,"23,0",0,,"1,41103","2,11256","0,1529",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"711,2400531768799",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/83608.png,"QUESTÃO 145

O setor de recursos humanos de uma empresa
pretende fazer contratações para adequar-se ao artigo 93
da Leinf 8213/91, que dispõe:

Art. 93, A empresa com 100 (cem) ou mais empregados
está obrigada a preencher de 2% (dois por cento) a 5%
(cinco por cento) dos seus cargos com beneficiários
reabilitados ou pessoas com deficiência, habilitadas, na
seguinte proporção:

1. até 200 empregados 2%;
IL de 201 a 500 empregados. 3%;
WL de 501 a 1.000 empregados. 4%;
IV. de 1001 em diante. 5%.

Dkponve em: un para gor Acesso em: eu 2015,

Constatou-se que a empresa possui 1 200 funcionários,
dos quais 10 são reabiltados ou com deficiência,
habilitados.

Para adequar-se à referida lei, a empresa contratará
apenas empregados que atendem ao perfil indicado no
artigo 93.

O número mínimo de empregados reabiltados ou com
deficiência, habilitados, que deverá ser contratado pela
empresa é

0000
g823R
","794,4695949554443","1025,0227451324463","57,64"
