CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
2,CH,66987,C,"30,0",0,,"1,6807","-0,22728","0,18248",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"478,7724018096924","516,7310237884521","630,9669017791748","59,12",Cluster 0
3,CH,49661,E,"4,0",0,,"2,76077","0,40708","0,15169",AMARELA,PROVA AMARELA,,"0,0",2017,"543,1382656097412","565,7665729522705","635,0724697113037","57,58",Cluster 0
3,CH,66754,D,"21,0",0,,"2,809","-0,0156","0,15158",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"500,83327293396","523,0705738067627","591,1867618560791","57,58",Cluster 0
4,CH,49943,A,"27,0",0,,"3,84842","0,6481","0,14619",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"566,7393207550049","582,9160213470459","632,6048374176025","57,31",Cluster 0
6,CH,31752,A,"11,0",0,,"0,79125","0,4275","0,23451",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"536,0429286956787","620,018720626831","864,2642498016357","61,73",Cluster 0
7,CH,53963,A,"20,0",0,,"2,9889","0,61953","0,19758",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"562,0710849761963","583,6527347564697","648,0066776275635","59,88",Cluster 0
8,CH,79165,D,"23,0",0,,"3,41247","0,2849","0,13263",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"531,1720371246338","549,2608547210693","605,2200794219971","56,63",Cluster 0
9,CH,24292,A,"4,0",0,,"3,69706","0,41133","0,19062",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"541,5027141571045","558,8595867156982","610,8419895172119","59,53",Cluster 0
10,CH,18350,C,"3,0",0,,"1,68323","0,11244","0,20383",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"510,908842086792","549,4134426116943","663,7732982635498","60,19",Cluster 0
13,CH,60024,C,"13,0",0,,"1,48027","0,2402","0,19458",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"524,5559215545654","568,0339336395264","697,9267597198486","59,73",Cluster 0
15,CH,8456,B,"6,0",0,,"3,69069","0,63388","0,16417",AMARELA,PROVA AMARELA,,"0,0",2017,"564,7556781768799","581,8216800689697","633,737325668335","58,21",Cluster 0
18,CH,63479,C,"1,0",0,,"1,41128","-0,18516","0,17736",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"483,7791919708252","528,8188457489014","664,7841930389404","58,87",Cluster 0
