CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
1,LC,18212,E,"7,0",0,,"2,83695","0,71551","0,20157",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"571,4695453643799","594,2766666412354","662,1091365814209","60,08",Cluster 3
4,LC,7463,C,"5,0",0,,"4,13584","0,87671","0,08482",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"591,2702083587646","605,7946681976318","651,752233505249","54,24",Cluster 3
4,LC,18292,B,"5,0",0,,"3,76641","1,02064","0,26396",AMARELA,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2017,"599,3430614471436","617,4604892730713","668,987512588501","63,2",Cluster 3
5,LC,37043,D,"6,0",0,,"3,20601","0,68677","0,15385",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"570,6803798675537","590,1949405670166","649,8878002166748","57,69",Cluster 3
7,LC,23968,B,"7,0",0,,"1,70743","0,92238","0,20397",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"591,8948650360107","629,8582553863525","742,5992488861084","60,2",Cluster 3
8,LC,23183,E,"5,0",0,,"2,49389","0,83639","0,14535",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"586,6591930389404","611,6073131561279","688,2779598236084","57,27",Cluster 3
8,LC,28184,C,"6,0",0,,"2,16165","1,32148","0,22811",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"630,1658153533936","660,7382297515869","750,0641345977783","61,41",Cluster 3
9,LC,31960,E,"8,0",0,,"3,26583","1,57241","0,25069",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"654,799222946167","675,4391193389893","734,748125076294","62,53",Cluster 3
10,LC,40428,B,"5,0",0,,"3,30891","0,84814","0,13652",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"587,4316692352295","606,133222579956","663,8638973236084","56,83",Cluster 3
10,LC,47905,E,"8,0",0,,"3,12504","0,77877","0,16214",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"579,578161239624","599,707841873169","661,0052585601807","58,11",Cluster 3
11,LC,31174,C,"22,0",0,,"1,58641","1,20521","0,23911",AMARELA,PROVA AMARELA,,"0,0",2017,"616,7047023773193","658,7569713592529","780,6556224822998","61,96",Cluster 3
12,LC,32266,C,"4,0",0,,"3,89954","0,57072","0,16429",AMARELA,PROVA AMARELA,,"0,0",2017,"558,361291885376","574,5165348052979","623,6498355865479","58,21",Cluster 3
15,LC,30269,E,"14,0",0,,"1,8544","0,82214","0,20614",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"581,7239284515381","616,7356967926025","720,569372177124","60,31",Cluster 3
16,LC,85411,A,"16,0",0,,"1,96111","1,137","0,10859",AMARELA,PROVA AMARELA,,"0,0",2017,"619,8732852935791","650,9058475494385","748,0447292327881","55,43",Cluster 3
18,LC,88888,D,"16,0",0,,"2,13756","0,64551","0,09542",AMARELA,PROVA AMARELA,,"0,0",2017,"570,9426403045654","599,2047786712646","688,215970993042","54,77",Cluster 3
19,LC,23784,A,"29,0",0,,"1,04729","1,07423","0,25133",AMARELA,PROVA AMARELA,,"0,0",2017,"599,71022605896","664,107084274292","849,0698337554932","62,57",Cluster 3
19,LC,60045,A,"23,0",0,,"1,4758","0,71202","0,2156",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"569,6170330047607","613,9414310455322","744,5685863494873","60,78",Cluster 3
21,LC,39670,D,"18,0",0,,"2,13914","0,93986","0,11246",AMARELA,PROVA AMARELA,,"0,0",2017,"599,4288921356201","627,941370010376","717,0288562774658","55,62",Cluster 3
23,LC,30469,A,"20,0",0,,"1,8824","1,22143","0,09514",AMARELA,PROVA AMARELA,,"0,0",2017,"629,4171810150146","661,505937576294","762,5787258148193","54,76",Cluster 3
25,LC,37708,A,"23,0",0,,"2,01323","0,71393","0,21864",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"569,9985027313232","602,5712490081787","698,3630657196045","60,93",Cluster 3
25,LC,77759,E,"1,0",0,,"3,12296","1,51979","0,13822",AMARELA,PROVA AMARELA,,"0,0",2017,"654,6847820281982","674,5188236236572","735,6994152069092","56,91",Cluster 3
26,LC,90150,D,"10,0",0,,"0,69642","0,37615","0,01312",AMARELA,PROVA AMARELA,,"0,0",2017,"569,9961185455322","653,3114910125732","924,6175289154052","50,66",Cluster 3
28,LC,29586,B,"20,0",0,,"3,0576","1,26179","0,08981",AMARELA,PROVA AMARELA,,"0,0",2017,"630,8596134185791","650,5577564239502","712,7516269683838","54,49",Cluster 3
28,LC,54363,D,"13,0",0,,"2,35801","0,59482","0,12614",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"563,709020614624","589,7848606109619","670,7136631011963","56,31",Cluster 3
30,LC,36051,D,"29,0",0,,"2,29441","1,05486","0,21328",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"604,6192646026611","633,0792903900146","717,0741558074951","60,66",Cluster 3
30,LC,61636,D,"22,0",0,,"2,10962","0,66029","0,15184",AMARELA,PROVA AMARELA,,"0,0",2017,"569,199800491333","598,8137722015381","689,5153522491455","57,59",Cluster 3
32,LC,82891,D,"15,0",0,,"2,01242","0,70413","0,0707",AMARELA,PROVA AMARELA,,"0,0",2017,"578,6006450653076","608,2313060760498","702,564001083374","53,54",Cluster 3
33,LC,27854,B,"24,0",0,,"3,66771","0,82179","0,15245",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"583,9793682098389","601,0215282440186","653,1946659088135","57,62",Cluster 3
35,LC,90147,C,"1,0",0,,"3,30896","0,61716","0,12142",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"564,9034976959229","583,4333896636963","641,0782337188721","56,07",Cluster 3
36,LC,46834,C,"12,0",0,,"3,93945","0,91634","0,15994",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"593,0583477020264","609,0037822723389","657,6173305511475","58,0",Cluster 3
37,LC,68284,B,"25,0",0,,"1,96831","0,74872","0,12595",AMARELA,PROVA AMARELA,,"0,0",2017,"579,9477100372314","611,1829280853271","708,1310749053955","56,3",Cluster 3
41,LC,29181,B,"19,0",0,,"3,63616","1,38377","0,12723",AMARELA,PROVA AMARELA,,"0,0",2017,"641,0806179046631","658,001184463501","710,48903465271","56,36",Cluster 3
42,LC,86322,D,"15,0",0,,"2,04412","0,95386","0,16042",AMARELA,PROVA AMARELA,,"0,0",2017,"598,1009006500244","628,8402080535889","722,5315570831299","58,02",Cluster 3
43,LC,55024,C,"25,0",0,,"4,51018","0,6145","0,19567",AMARELA,PROVA AMARELA,,"0,0",2017,"561,5894794464111","575,8731365203857","618,5095310211182","59,78",Cluster 3
44,LC,23196,E,"28,0",0,,"2,62175","0,91266","0,22189",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"590,0042057037354","615,0810718536377","688,671350479126","61,09",Cluster 3
44,LC,60715,B,"13,0",0,,"3,47859","0,89063","0,1198",AMARELA,PROVA AMARELA,,"0,0",2017,"592,1523571014404","609,7619533538818","664,5863056182861","55,99",Cluster 3
46,LC,32001,C,"24,0",0,,"1,37579","0,9032","0,17561",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"592,850923538208","638,9968395233154","778,4407138824463","58,78",Cluster 3
48,LC,28997,A,"17,0",0,,"2,4312","1,37674","0,19208",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"638,1480693817139","664,57200050354","743,6363697052002","59,6",Cluster 3
49,LC,90020,C,"24,0",0,,"2,11132","1,36576","0,19052",AMARELA,PROVA AMARELA,,"0,0",2017,"637,2277736663818","667,621374130249","758,6448192596436","59,53",Cluster 3
1,LC,32893,C,"5,0",0,,"2,59894","0,65173","0,18129",Amarela,PROVA AMARELA,"1,0","0,0",2018,"566,2076473236084","590,7337665557861","664,5982265472412","59,06",Cluster 3
1,LC,90119,B,"5,0",0,,"2,61664","0,61521","0,22421",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2018,"560,1184368133545","585,2930545806885","659,0478420257568","61,21",Cluster 3
2,LC,17485,B,"5,0",0,,"3,24021","0,77443","0,22017",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2018,"576,5025615692139","596,7657566070557","656,2964916229248","61,01",Cluster 3
2,LC,55933,C,"6,0",0,,"1,35954","1,17424","0,25459",Amarela,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2018,"611,0756397247314","660,8312129974365","803,3792972564697","62,73",Cluster 3
2,LC,87035,B,"5,0",0,,"4,5056","0,73171","0,2227",Amarela,PROVA AMARELA,"0,0","0,0",2018,"572,40891456604","587,0096683502197","629,8367977142334","61,14",Cluster 3
3,LC,13652,E,"7,0",0,,"2,43311","0,94271","0,15103",Amarela,PROVA AMARELA,"0,0","0,0",2018,"597,0637798309326","622,7271556854248","701,3623714447021","57,55",Cluster 3
3,LC,84836,B,"5,0",0,,"1,76657","1,0366","0,213",Amarela,PROVA AMARELA,"1,0","0,0",2018,"602,5593280792236","639,5118236541748","748,6026287078857","60,65",Cluster 3
3,LC,90002,A,"7,0",0,,"3,47246","0,67703","0,14079",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2018,"570,0414180755615","587,9085063934326","642,9450511932373","57,04",Cluster 3
4,LC,17817,A,"6,0",0,,"3,86369","0,85701","0,16228",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2018,"587,0740413665771","603,3556461334229","652,9347896575928","58,11",Cluster 3
4,LC,55925,D,"6,0",0,,"1,80017","0,8021","0,20292",Amarela,PROVA AMARELA,"1,0","0,0",2018,"579,9715518951416","615,9489154815674","722,8677272796631","60,15",Cluster 3
4,LC,95804,D,"8,0",0,,"4,32651","0,80674","0,21308",Amarela,PROVA AMARELA,"0,0","0,0",2018,"580,2218914031982","595,3114032745361","639,855146408081","60,65",Cluster 3
4,LC,96786,E,"5,0",0,,"1,80719","1,02631","0,12053",Amarela,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2018,"608,5293292999268","642,439603805542","747,9755878448486","56,03",Cluster 3
5,LC,85387,C,"6,0",0,,"3,00737","0,91167","0,45573",Amarela,PROVA AMARELA,"0,0","0,0",2018,"571,2192058563232","601,7892360687256","668,982744216919","72,79",Cluster 3
5,LC,97229,C,"6,0",0,,"3,37571","0,67092","0,15391",Amarela,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2018,"568,9923763275146","587,5246524810791","644,2205905914307","57,7",Cluster 3
5,LC,98220,D,"7,0",0,,"3,76232","0,83025","0,20321",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2018,"582,8993320465088","600,1179218292236","651,2777805328369","60,16",Cluster 3
6,LC,79142,E,"21,0",0,,"1,77337","1,05026","0,13052",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"610,3389263153076","645,1027393341064","752,758264541626","56,53",Cluster 3
6,LC,112092,B,"27,0",0,,"2,40823","1,41052","0,06055",Amarela,PROVA AMARELA,,"0,0",2018,"648,3571529388428","672,9905605316162","751,7521381378174","53,03",Cluster 3
8,LC,24007,E,"15,0",0,,"0,94955","0,78242","0,01255",Amarela,PROVA AMARELA,,"0,0",2018,"602,0514965057373","663,1414890289307","862,1137142181396","50,63",Cluster 3
9,LC,111970,A,"19,0",0,,"3,00407","0,86553","0,12715",Amarela,PROVA AMARELA,,"0,0",2018,"589,8301601409912","610,3079319000244","673,8393306732178","56,36",Cluster 3
10,LC,67551,A,"19,0",0,,"2,12582","1,0358","0,22662",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"601,6747951507568","632,7240467071533","723,5376834869385","61,33",Cluster 3
11,LC,76042,E,"1,0",0,,"1,73716","1,38024","0,28895",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"629,5077800750732","669,7909832000732","781,9359302520752","64,45",Cluster 3
12,LC,37758,D,"24,0",0,,"1,67632","1,16693","0,12966",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"622,3766803741455","659,1336727142334","773,0143070220947","56,48",Cluster 3
14,LC,56161,A,"14,0",0,,"2,09005","1,15315","0,16228",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"617,8514957427979","647,9518413543701","739,6047115325928","58,11",Cluster 3
15,LC,6818,E,"16,0",0,,"2,21619","1,06685","0,08843",Amarela,PROVA AMARELA,,"0,0",2018,"613,2142543792725","640,3725147247314","726,1674404144287","54,42",Cluster 3
15,LC,83856,E,"30,0",0,,"3,5396","0,8136","0,11717",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"584,4871997833252","601,7653942108154","655,6313037872314","55,86",Cluster 3
16,LC,77697,C,"1,0",0,,"3,08161","0,96797","0,17797",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"597,8195667266846","618,4570789337158","680,7296276092529","58,9",Cluster 3
16,LC,112066,D,"9,0",0,,"3,9313","0,57499","0,12299",Amarela,PROVA AMARELA,,"0,0",2018,"560,1327419281006","575,7443904876709","624,2697238922119","56,15",Cluster 3
17,LC,23615,B,"14,0",0,,"0,93968","0,71348","0,01825",Amarela,PROVA AMARELA,,"0,0",2018,"594,7964191436768","656,6851139068604","857,8364849090576","50,91",Cluster 3
18,LC,76800,E,"1,0",0,,"2,41183","1,42846","0,15898",Amarela,PROVA AMARELA,,"0,0",2018,"645,2267169952393","671,2524890899658","750,6506443023682","57,95",Cluster 3
20,LC,61878,E,"26,0",0,,"1,94597","0,8094","0,13457",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"585,519552230835","617,2769069671631","715,4266834259033","56,73",Cluster 3
20,LC,111884,D,"29,0",0,,"1,22307","1,2123","0,01696",Amarela,PROVA AMARELA,,"0,0",2018,"639,3520832061768","686,8736743927002","841,4022922515869","50,85",Cluster 3
21,LC,95682,C,"4,0",0,,"1,88047","0,88977","0,17022",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"591,2225246429443","624,8586177825928","726,815938949585","58,51",Cluster 3
21,LC,112053,A,"30,0",0,,"1,68734","0,99457","0,20253",Amarela,PROVA AMARELA,,"0,0",2018,"599,2357730865479","637,6092433929443","751,6710758209229","60,13",Cluster 3
22,LC,84446,C,"12,0",0,,"1,67738","0,82559","0,1677",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"585,2811336517334","622,9250431060791","737,194299697876","58,38",Cluster 3
23,LC,22904,E,"15,0",0,,"2,7669","1,5011","0,18886",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"650,6936550140381","673,8584041595459","743,300199508667","59,44",Cluster 3
24,LC,50016,E,"18,0",0,,"3,39686","0,6387","0,18543",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"564,4886493682861","583,3094120025635","639,85276222229","59,27",Cluster 3
25,LC,81987,C,"12,0",0,,"1,63347","1,06946","0,20097",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"606,8580150604248","646,4498043060303","764,2524242401123","60,05",Cluster 3
26,LC,86600,B,"1,0",0,,"2,09341","0,89244","0,21354",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"588,275671005249","619,4727420806885","711,5380764007568","60,68",Cluster 3
27,LC,82889,B,"22,0",0,,"3,9794","0,59122","0,20812",Amarela,PROVA AMARELA,,"0,0",2018,"558,819055557251","575,1602649688721","623,5592365264893","60,41",Cluster 3
27,LC,96873,E,"12,0",0,,"3,00622","0,65025","0,15832",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"566,9634342193604","587,8369808197021","651,5281200408936","57,92",Cluster 3
28,LC,97416,A,"28,0",0,,"1,29567","1,39476","0,11929",Amarela,PROVA AMARELA,,"0,0",2018,"647,8207111358643","695,082426071167","842,2653675079346","55,96",Cluster 3
28,LC,97679,A,"17,0",0,,"2,30343","1,41293","0,21113",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"640,5727863311768","668,8706874847412","752,5150775909424","60,56",Cluster 3
29,LC,86194,A,"18,0",0,,"3,52005","0,89628","0,19967",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"589,641809463501","607,9952716827393","662,6527309417725","59,98",Cluster 3
30,LC,83845,E,"18,0",0,,"1,61588","1,19144","0,17627",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"621,2418079376221","660,5498790740967","779,2847156524658","58,81",Cluster 3
31,LC,76784,B,"1,0",0,,"3,38863","1,00758","0,18354",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"601,4578342437744","620,2976703643799","676,9649982452393","59,18",Cluster 3
31,LC,112113,C,"21,0",0,,"1,69328","1,27469","0,05119",Amarela,PROVA AMARELA,,"0,0",2018,"638,4556293487549","673,3314990997314","785,25710105896","52,56",Cluster 3
32,LC,25923,B,"12,0",0,,"2,41196","1,35733","0,14315",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"638,9729976654053","664,7341251373291","743,9916133880615","57,16",Cluster 3
33,LC,87157,A,"16,0",0,,"2,44345","1,09455","0,23433",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"607,2943210601807","634,4835758209229","713,5765552520752","61,72",Cluster 3
33,LC,112054,E,"2,0",0,,"1,02723","0,48041","0,00765",Amarela,PROVA AMARELA,,"0,0",2018,"570,5254077911377","626,875638961792","810,7321262359619","50,38",Cluster 3
34,LC,96729,C,"15,0",0,,"1,42862","0,83152","0,17175",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"585,9630107879639","630,2826404571533","764,509916305542","58,59",Cluster 3
34,LC,97968,A,"17,0",0,,"0,83826","1,29183","0,02232",Amarela,PROVA AMARELA,,"0,0",2018,"654,9756526947021","724,4794368743896","950,037717819214","51,12",Cluster 3
35,LC,89496,E,"15,0",0,,"1,839","0,8233","0,16448",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"585,0522518157959","619,3106174468994","723,5019207000732","58,22",Cluster 3
36,LC,78076,D,"19,0",0,,"2,83439","1,00477","0,20723",Amarela,PROVA AMARELA,,"0,0",2018,"600,0988483428955","623,0251789093018","690,967321395874","60,36",Cluster 3
