CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
1,LC,18212,E,"7,0",0,,"2,83695","0,71551","0,20157",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"571,4695453643799","594,2766666412354","662,1091365814209","60,08",Cluster 3
1,LC,23448,A,"7,0",0,,"2,296","-0,14177","0,18738",AMARELA,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2017,"486,6187572479248","514,5018100738525","598,1748104095459","59,37",Cluster 2
2,LC,42335,B,"7,0",0,,"3,56712","0,32162","0,20155",AMARELA,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2017,"532,0971012115479","550,2359867095947","604,1829586029053","60,08",Cluster 2
2,LC,48074,D,"6,0",0,,"4,52165","0,53966","0,24458",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"552,4294376373291","567,2543048858643","610,0528240203857","62,23",Cluster 2
3,LC,37683,C,"6,0",0,,"3,23952","0,20585","0,20042",AMARELA,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2017,"520,5647945404053","540,520429611206","599,9152660369873","60,02",Cluster 2
3,LC,54099,D,"7,0",0,,"3,09698","0,50324","0,23815",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"548,4192371368408","569,9436664581299","632,375955581665","61,91",Cluster 2
4,LC,7463,C,"5,0",0,,"4,13584","0,87671","0,08482",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"591,2702083587646","605,7946681976318","651,752233505249","54,24",Cluster 3
4,LC,18292,B,"5,0",0,,"3,76641","1,02064","0,26396",AMARELA,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2017,"599,3430614471436","617,4604892730713","668,987512588501","63,2",Cluster 3
5,LC,37043,D,"6,0",0,,"3,20601","0,68677","0,15385",AMARELA,PROVA AMARELA,"0,0","0,0",2017,"570,6803798675537","590,1949405670166","649,8878002166748","57,69",Cluster 3
5,LC,64089,A,"6,0",0,,"2,87437","0,42812","0,19261",AMARELA,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2017,"543,1859493255615","565,544843673706","632,4236392974854","59,63",Cluster 2
6,LC,86967,D,"5,0",0,,"3,40425","-0,47958","0,16629",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"453,44042778015137","471,9703197479248","528,2657146453857","58,31",Cluster 2
6,LC,88785,B,"8,0",0,,"1,84579","0,38141","0,13359",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"543,0357456207275","576,4977931976318","679,9643039703369","56,68",Cluster 2
7,LC,23968,B,"7,0",0,,"1,70743","0,92238","0,20397",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"591,8948650360107","629,8582553863525","742,5992488861084","60,2",Cluster 3
7,LC,60767,E,"6,0",0,,"1,8619","1,70239","0,25075",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"665,9524440765381","702,1563053131104","806,1854839324951","62,54",Cluster 0
8,LC,23183,E,"5,0",0,,"2,49389","0,83639","0,14535",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"586,6591930389404","611,6073131561279","688,2779598236084","57,27",Cluster 3
8,LC,28184,C,"6,0",0,,"2,16165","1,32148","0,22811",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"630,1658153533936","660,7382297515869","750,0641345977783","61,41",Cluster 3
9,LC,31960,E,"8,0",0,,"3,26583","1,57241","0,25069",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"654,799222946167","675,4391193389893","734,748125076294","62,53",Cluster 3
9,LC,33118,D,"6,0",0,,"1,94293","0,55952","0,2057",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"555,5169582366943","588,9241695404053","688,0204677581787","60,28",Cluster 2
10,LC,40428,B,"5,0",0,,"3,30891","0,84814","0,13652",AMARELA,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2017,"587,4316692352295","606,133222579956","663,8638973236084","56,83",Cluster 3
10,LC,47905,E,"8,0",0,,"3,12504","0,77877","0,16214",AMARELA,PROVA AMARELA,"1,0","0,0",2017,"579,578161239624","599,707841873169","661,0052585601807","58,11",Cluster 3
11,LC,31174,C,"22,0",0,,"1,58641","1,20521","0,23911",AMARELA,PROVA AMARELA,,"0,0",2017,"616,7047023773193","658,7569713592529","780,6556224822998","61,96",Cluster 3
11,LC,87833,A,"15,0",0,,"3,23853","0,22791","0,15813",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"524,5988368988037","543,9703464508057","603,0933856964111","57,91",Cluster 2
12,LC,32266,C,"4,0",0,,"3,89954","0,57072","0,16429",AMARELA,PROVA AMARELA,,"0,0",2017,"558,361291885376","574,5165348052979","623,6498355865479","58,21",Cluster 3
12,LC,49475,B,"4,0",0,,"3,69346","-0,17429","0,19918",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"482,6037883758545","500,0894069671631","552,1767139434814","59,96",Cluster 2
13,LC,44273,E,"23,0",0,,"0,76939","0,2678","0,01939",AMARELA,PROVA AMARELA,,"0,0",2017,"555,2690029144287","630,8929920196533","876,5857219696045","50,97",Cluster 2
13,LC,96730,D,"16,0",0,,"2,69885","0,34002","0,10592",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"538,6059284210205","561,1221790313721","631,6893100738525","55,3",Cluster 2
14,LC,27809,C,"17,0",0,,"3,14781","1,61104","0,18123",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"661,9613170623779","682,2102069854736","743,1952953338623","59,06",Cluster 0
14,LC,62046,B,"1,0",0,,"1,74404","-0,16537","0,03589",AMARELA,PROVA AMARELA,,"0,0",2017,"495,0587749481201","528,6734104156494","637,2039318084717","51,79",Cluster 2
15,LC,18642,D,"30,0",0,,"2,08588","0,48827","0,20928",AMARELA,PROVA AMARELA,,"0,0",2017,"548,1641292572021","579,3683528900146","671,7150211334229","60,46",Cluster 2
15,LC,30269,E,"14,0",0,,"1,8544","0,82214","0,20614",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"581,7239284515381","616,7356967926025","720,569372177124","60,31",Cluster 3
16,LC,48608,D,"28,0",0,,"3,35326","-0,30275","0,14356",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"472,03946113586426","490,5741214752197","547,5847721099854","57,18",Cluster 2
16,LC,85411,A,"16,0",0,,"1,96111","1,137","0,10859",AMARELA,PROVA AMARELA,,"0,0",2017,"619,8732852935791","650,9058475494385","748,0447292327881","55,43",Cluster 3
17,LC,84042,E,"9,0",0,,"2,68914","0,1005","0,04255",AMARELA,PROVA AMARELA,,"0,0",2017,"517,310380935669","539,1781330108643","609,6045970916748","52,13",Cluster 2
17,LC,86081,C,"11,0",0,,"2,39362","0,35936","0,13041",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"539,8766994476318","565,6306743621826","645,3912258148193","56,52",Cluster 2
18,LC,61715,C,"27,0",0,,"2,30566","0,39619","0,21357",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"538,7394428253174","567,063570022583","650,6531238555908","60,68",Cluster 2
18,LC,88888,D,"16,0",0,,"2,13756","0,64551","0,09542",AMARELA,PROVA AMARELA,,"0,0",2017,"570,9426403045654","599,2047786712646","688,215970993042","54,77",Cluster 3
19,LC,23784,A,"29,0",0,,"1,04729","1,07423","0,25133",AMARELA,PROVA AMARELA,,"0,0",2017,"599,71022605896","664,107084274292","849,0698337554932","62,57",Cluster 3
19,LC,60045,A,"23,0",0,,"1,4758","0,71202","0,2156",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"569,6170330047607","613,9414310455322","744,5685863494873","60,78",Cluster 3
20,LC,38057,E,"4,0",0,,"2,08536","0,3332","0,10324",AMARELA,PROVA AMARELA,,"0,0",2017,"539,4308567047119","568,5274600982666","659,832239151001","55,16",Cluster 2
20,LC,39582,D,"25,0",0,,"2,78681","0,25458","0,17463",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"526,7565250396729","549,52073097229","618,3545589447021","58,73",Cluster 2
