CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
141,MT,85018,E,"17,0",0,,"1,63837","2,68497","0,14392",AZUL,PROVA AZUL,,"0,0",2016,"773,207426071167","811,1493587493896","927,8385639190674","57,2",Cluster 2
143,MT,29844,B,"14,0",0,,"2,19275","2,46663","0,11939",AZUL,PROVA AZUL,,"0,0",2016,"751,5876293182373","779,5159816741943","866,4863109588623","55,97",Cluster 2
147,MT,40660,A,"2,0",0,,"1,35187","2,42336","0,15877",AZUL,PROVA AZUL,,"0,0",2016,"746,6046810150146","793,0319309234619","934,6764087677002","57,94",Cluster 2
150,MT,24747,B,"15,0",0,,"1,03364","2,43323","0,16635",AZUL,PROVA AZUL,,"0,0",2016,"747,9207515716553","808,9487552642822","994,3573474884032","58,32",Cluster 2
152,MT,60291,C,"28,0",0,,"1,63497","3,74711","0,20983",AZUL,PROVA AZUL,,"0,0",2016,"873,8152980804443","913,6431217193604","1031,4671993255615","60,49",Cluster 2
159,MT,83152,B,"30,0",0,,"2,16875","2,57525","0,18866",AZUL,PROVA AZUL,,"0,0",2016,"758,2824230194092","787,8296375274658","876,4259815216064","59,43",Cluster 2
160,MT,10052,D,"21,0",0,,"0,86661","3,92011","0,186",AZUL,PROVA AZUL,,"0,0",2016,"894,3455219268799","968,1479930877686","1189,7914409637451","59,3",Cluster 2
162,MT,53278,A,"26,0",0,,"1,8996","2,1059","0,1077",AZUL,PROVA AZUL,,"0,0",2016,"717,0193195343018","749,0413188934326","849,3177890777588","55,38",Cluster 2
163,MT,38786,A,"3,0",0,,"1,46119","2,45335","0,12054",AZUL,PROVA AZUL,,"0,0",2016,"752,6295185089111","794,569730758667","925,0943660736084","56,03",Cluster 2
165,MT,8476,D,"3,0",0,,"1,15634","2,81506","0,10382",AZUL,PROVA AZUL,,"0,0",2016,"792,4668788909912","844,9571132659912","1009,6256732940674","55,19",Cluster 2
166,MT,87262,B,"22,0",0,,"1,67523","2,64728","0,24232",AZUL,PROVA AZUL,,"0,0",2016,"760,8025074005127","800,7352352142334","916,2228107452391","62,12",Cluster 2
