CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
136,MT,11472,D,"12,0",0,,"2,63746","2,11088","0,28635",AZUL,PROVA AZUL,,"0,0",2016,"705,6634426116943","732,1255207061768","805,9589862823486","64,32",Cluster 0
137,MT,18364,A,"11,0",0,,"2,81671","1,63196","0,30232",AZUL,PROVA AZUL,,"0,0",2016,"657,0260524749756","682,2340488433838","751,549482345581","65,12",Cluster 0
138,MT,30865,D,"10,0",0,,"1,78461","0,5442","0,17099",AZUL,PROVA AZUL,,"0,0",2016,"556,7281246185303","592,1881198883057","699,6314525604248","58,55",Cluster 0
139,MT,32686,C,"20,0",0,,"1,66308","1,89621","0,13493",AZUL,PROVA AZUL,,"0,0",2016,"694,9512958526611","732,1207523345947","846,9693660736084","56,75",Cluster 0
140,MT,27005,C,"29,0",0,,"1,37969","1,86612","0,22417",AZUL,PROVA AZUL,,"0,0",2016,"683,9554309844971","731,698751449585","871,5789318084717","61,21",Cluster 0
141,MT,85018,E,"17,0",0,,"1,63837","2,68497","0,14392",AZUL,PROVA AZUL,,"0,0",2016,"773,207426071167","811,1493587493896","927,8385639190674","57,2",Cluster 2
142,MT,32808,C,"8,0",0,,"1,07664","1,11684","0,13937",AZUL,PROVA AZUL,,"0,0",2016,"619,394063949585","676,9673824310303","854,4533252716064","56,97",Cluster 0
143,MT,29844,B,"14,0",0,,"2,19275","2,46663","0,11939",AZUL,PROVA AZUL,,"0,0",2016,"751,5876293182373","779,5159816741943","866,4863109588623","55,97",Cluster 2
144,MT,53219,D,"29,0",0,,"1,57797","0,76944","0,09447",AZUL,PROVA AZUL,,"0,0",2016,"585,67214012146","623,9383220672607","744,5018291473389","54,72",Cluster 0
145,MT,83608,E,"23,0",0,,"1,41103","2,11256","0,1529",AZUL,PROVA AZUL,,"0,0",2016,"715,8963680267334","760,2064609527588","895,8261013031006","57,64",Cluster 0
146,MT,25285,C,"5,0",0,,"1,78123","1,4705","0,17889",AZUL,PROVA AZUL,,"0,0",2016,"648,7481594085693","684,4727993011475","792,2189235687256","58,94",Cluster 0
147,MT,40660,A,"2,0",0,,"1,35187","2,42336","0,15877",AZUL,PROVA AZUL,,"0,0",2016,"746,6046810150146","793,0319309234619","934,6764087677002","57,94",Cluster 2
148,MT,16644,D,"1,0",0,,"1,50889","1,52149","0,16712",AZUL,PROVA AZUL,,"0,0",2016,"655,2283763885498","697,058916091919","824,0811824798584","58,36",Cluster 0
149,MT,42706,C,"26,0",0,,"1,64539","1,89258","0,19287",AZUL,PROVA AZUL,,"0,0",2016,"689,889669418335","728,956937789917","845,7891941070557","59,64",Cluster 0
150,MT,24747,B,"15,0",0,,"1,03364","2,43323","0,16635",AZUL,PROVA AZUL,,"0,0",2016,"747,9207515716553","808,9487552642822","994,3573474884032","58,32",Cluster 2
151,MT,96774,A,"25,0",0,,"1,82869","1,82931","0,18734",AZUL,PROVA AZUL,,"0,0",2016,"683,9339733123779","718,9409732818604","823,9953517913818","59,37",Cluster 0
152,MT,60291,C,"28,0",0,,"1,63497","3,74711","0,20983",AZUL,PROVA AZUL,,"0,0",2016,"873,8152980804443","913,6431217193604","1031,4671993255615","60,49",Cluster 2
153,MT,45081,D,"28,0",0,,"1,11894","0,27904","0,19659",AZUL,PROVA AZUL,,"0,0",2016,"528,3491611480713","585,9558582305908","757,8365802764893","59,83",Cluster 0
154,MT,42955,B,"13,0",0,,"1,78999","0,80312","0,19843",AZUL,PROVA AZUL,,"0,0",2016,"580,4412364959717","616,502046585083","723,9692211151123","59,92",Cluster 0
155,MT,32221,C,"6,0",0,,"0,94342","-0,40779","0,19983",AZUL,PROVA AZUL,,"0,0",2016,"459,24830436706543","527,7388095855713","731,6749095916748","59,99",Cluster 0
156,MT,59795,E,"16,0",0,,"2,1306","1,96996","0,09445",AZUL,PROVA AZUL,,"0,0",2016,"703,4604549407959","731,8012714385986","821,0937976837158","54,72",Cluster 0
157,MT,37515,E,"27,0",0,,"2,78017","0,90583","0,12599",AZUL,PROVA AZUL,,"0,0",2016,"594,1741466522217","616,2898540496826","684,9281787872314","56,3",Cluster 0
158,MT,83234,A,"24,0",0,,"0,98951","1,93987","0,07908",AZUL,PROVA AZUL,,"0,0",2016,"709,6879482269287","770,2105045318604","962,2042179107666","53,95",Cluster 0
159,MT,83152,B,"30,0",0,,"2,16875","2,57525","0,18866",AZUL,PROVA AZUL,,"0,0",2016,"758,2824230194092","787,8296375274658","876,4259815216064","59,43",Cluster 2
160,MT,10052,D,"21,0",0,,"0,86661","3,92011","0,186",AZUL,PROVA AZUL,,"0,0",2016,"894,3455219268799","968,1479930877686","1189,7914409637451","59,3",Cluster 2
161,MT,32969,D,"8,0",0,,"1,98636","2,03775","0,14588",AZUL,PROVA AZUL,,"0,0",2016,"707,5326442718506","738,8656139373779","835,1318836212158","57,29",Cluster 0
162,MT,53278,A,"26,0",0,,"1,8996","2,1059","0,1077",AZUL,PROVA AZUL,,"0,0",2016,"717,0193195343018","749,0413188934326","849,3177890777588","55,38",Cluster 2
163,MT,38786,A,"3,0",0,,"1,46119","2,45335","0,12054",AZUL,PROVA AZUL,,"0,0",2016,"752,6295185089111","794,569730758667","925,0943660736084","56,03",Cluster 2
164,MT,42692,B,"4,0",0,,"1,82503","1,84464","0,15051",AZUL,PROVA AZUL,,"0,0",2016,"688,223123550415","722,4290370941162","827,2569179534912","57,53",Cluster 0
165,MT,8476,D,"3,0",0,,"1,15634","2,81506","0,10382",AZUL,PROVA AZUL,,"0,0",2016,"792,4668788909912","844,9571132659912","1009,6256732940674","55,19",Cluster 2
166,MT,87262,B,"22,0",0,,"1,67523","2,64728","0,24232",AZUL,PROVA AZUL,,"0,0",2016,"760,8025074005127","800,7352352142334","916,2228107452391","62,12",Cluster 2
167,MT,25723,C,"21,0",0,,"2,10247","2,63616","0,2797",AZUL,PROVA AZUL,,"0,0",2016,"757,3978900909424","790,3664112091064","882,8895092010498","63,98",Cluster 2
168,MT,39762,E,"2,0",0,,"2,05535","2,59645","0,17208",AZUL,PROVA AZUL,,"0,0",2016,"761,5749835968018","792,3882007598877","885,6909275054932","58,6",Cluster 2
169,MT,95265,A,"18,0",0,,"0,29852","10,12436","0,15255",AZUL,PROVA AZUL,,"0,0",2016,"1534,5256328582764","1743,9167499542236","2384,931325912476","57,63",Cluster 3
170,MT,30029,D,"27,0",0,,"2,42957","1,79574","0,0949",AZUL,PROVA AZUL,,"0,0",2016,"685,2214336395264","710,0813388824463","788,3899211883545","54,74",Cluster 0
171,MT,53721,D,"25,0",0,,"1,60951","3,12558","0,13029",AZUL,PROVA AZUL,,"0,0",2016,"818,4282779693604","856,7254543304443","975,3410816192628","56,51",Cluster 2
172,MT,85050,B,"9,0",0,,"1,27355","2,80412","0,19635",AZUL,PROVA AZUL,,"0,0",2016,"780,832052230835","831,4363956451416","982,4435710906982","59,82",Cluster 2
173,MT,83906,E,"24,0",0,,"1,62289","1,84916","0,15371",AZUL,PROVA AZUL,,"0,0",2016,"688,8859272003174","727,431058883667","845,3552722930908","57,69",Cluster 0
174,MT,17264,C,"12,0",0,,"2,21669","1,90224","0,18132",AZUL,PROVA AZUL,,"0,0",2016,"691,4346218109131","720,1902866363525","806,7958354949951","59,07",Cluster 0
175,MT,44243,E,"7,0",0,,"2,94115","4,08667","0,1354",AZUL,PROVA AZUL,,"0,0",2016,"911,6618633270264","932,685613632202","997,6284503936768","56,77",Cluster 2
176,MT,48223,B,"20,0",0,,"2,24873","1,70422","0,17961",AZUL,PROVA AZUL,,"0,0",2016,"671,7221736907959","700,0343799591064","785,3858470916748","58,98",Cluster 0
177,MT,96833,A,"4,0",0,,"1,75245","1,16274","0,08471",AZUL,PROVA AZUL,,"0,0",2016,"624,7751712799072","659,0502262115479","767,5139904022217","54,24",Cluster 0
178,MT,39198,E,"6,0",0,,"1,60611","2,5091","0,06869",AZUL,PROVA AZUL,,"0,0",2016,"761,307954788208","798,393964767456","916,5709018707277","53,43",Cluster 2
179,MT,88786,B,"17,0",0,,"1,64372","1,00596","0,08678",AZUL,PROVA AZUL,,"0,0",2016,"609,5163822174072","646,09694480896","761,75856590271","54,34",Cluster 0
180,MT,60315,C,"19,0",0,,"1,75029","3,06564","0,15981",AZUL,PROVA AZUL,,"0,0",2016,"809,7808361053467","845,6652164459229","955,080270767212","57,99",Cluster 2
1,MT,17291,B,"3,0",0,,"1,50418","1,51711","0,14864",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"656,4347743988037","697,8862285614014","825,0491619110107","57,43",Cluster 0
1,MT,95803,E,"5,0",0,,"2,03148","1,76214","0,19951",CINZA,PROVA CINZA,,"0,0",2017,"676,2497425079346","708,050012588501","802,7546405792236","59,98",Cluster 0
2,MT,27801,C,"12,0",0,,"1,15457","2,0935","0,19889",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"709,4900608062744","765,4159069061279","932,037115097046","59,94",Cluster 0
2,MT,38563,E,"24,0",0,,"1,45491","0,58108","0,32767",CINZA,PROVA CINZA,,"0,0",2017,"542,5636768341064","592,853307723999","727,6432514190674","66,38",Cluster 0
3,MT,23077,E,"25,0",0,,"2,01461","1,55563","0,1185",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"660,9766483306885","691,3607120513916","786,0105037689209","55,92",Cluster 0
3,MT,61485,C,"28,0",0,,"1,60552","2,68705","0,25409",CINZA,PROVA CINZA,,"0,0",2017,"763,3821964263916","805,4940700531006","926,1958599090576","62,7",Cluster 2
4,MT,9189,D,"16,0",0,,"1,61681","2,44593","0,11192",CINZA,PROVA CINZA,,"0,0",2017,"751,8332004547119","789,5462512969971","907,4108600616456","55,6",Cluster 2
4,MT,26050,C,"26,0",0,,"1,42986","2,73244","0,18228",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"775,0265598297119","819,6370601654053","953,9120197296144","59,11",Cluster 2
5,MT,27831,B,"12,0",0,,"1,54351","1,29578","0,17641",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"631,760835647583","672,9166507720947","797,2209453582764","58,82",Cluster 0
5,MT,68172,C,"20,0",0,,"2,27998","1,44146","0,30754",CINZA,PROVA CINZA,,"0,0",2017,"636,0666751861572","667,3948764801025","753,1015872955322","65,38",Cluster 0
6,MT,37469,D,"13,0",0,,"1,93126","2,3923","0,11964",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"744,8070049285889","776,5214443206787","875,2672672271729","55,98",Cluster 2
6,MT,43906,C,"12,0",0,,"1,91773","3,70512","0,08701",CINZA,PROVA CINZA,,"0,0",2017,"878,1425952911377","909,5017910003662","1008,6386203765868","54,35",Cluster 2
7,MT,15972,D,"21,0",0,,"1,2606","2,09394","0,14228",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"715,684175491333","764,9438381195068","916,5756702423096","57,11",Cluster 0
7,MT,96088,E,"5,0",0,,"2,7463","2,15592","0,06966",CINZA,PROVA CINZA,,"0,0",2017,"721,632719039917","743,3335781097412","812,4535083770752","53,48",Cluster 2
8,MT,27497,D,"5,0",0,,"2,51898","1,53058","0,16546",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"654,9923419952393","680,0191402435303","756,0937404632568","58,27",Cluster 0
8,MT,45300,C,"13,0",0,,"0,92225","3,2473","0,18467",CINZA,PROVA CINZA,,"0,0",2017,"827,1281719207764","896,4126110076904","1104,649782180786","59,23",Cluster 2
9,MT,28085,B,"7,0",0,,"2,37328","2,04033","0,14653",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"707,141637802124","733,379602432251","813,955545425415","57,33",Cluster 0
9,MT,95556,B,"9,0",0,,"2,22842","1,02866","0,13443",CINZA,PROVA CINZA,,"0,0",2017,"606,8723201751709","634,6027851104736","720,3118801116943","56,72",Cluster 0
10,MT,30340,B,"24,0",0,,"2,07064","1,69086","0,10861",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"674,9312877655029","704,3235301971436","796,3244915008545","55,43",Cluster 0
10,MT,96485,D,"30,0",0,,"2,48432","2,07643","0,19837",CINZA,PROVA CINZA,,"0,0",2017,"707,740068435669","733,7205410003662","811,1517429351807","59,92",Cluster 0
11,MT,32469,D,"30,0",0,,"2,29924","1,97679","0,1483",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"700,7877826690674","727,9007434844971","811,0873699188232","57,41",Cluster 0
11,MT,82352,B,"2,0",0,,"2,4349","1,74779","0,22339",CINZA,PROVA CINZA,,"0,0",2017,"673,3243465423584","700,3586292266846","779,611349105835","61,17",Cluster 0
12,MT,11720,B,"14,0",0,,"1,54842","2,44318","0,17992",CINZA,PROVA CINZA,,"0,0",2017,"746,1779117584229","787,3051166534424","911,2637042999268","59,0",Cluster 2
12,MT,18126,D,"15,0",0,,"2,02097","1,37153","0,18666",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"638,1075382232666","669,7695255279541","764,819860458374","59,33",Cluster 0
13,MT,31092,A,"10,0",0,,"3,25297","2,41786","0,28081",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"737,7045154571533","759,0358257293701","818,8478946685791","64,04",Cluster 2
13,MT,86907,D,"17,0",0,,"1,35417","2,03899","0,09909",CINZA,PROVA CINZA,,"0,0",2017,"713,6719226837158","758,3730220794678","898,9255428314209","54,95",Cluster 0
14,MT,15866,D,"28,0",0,,"2,00022","1,33919","0,09102",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"641,0043239593506","671,135663986206","766,2193775177002","54,55",Cluster 0
14,MT,40005,B,"3,0",0,,"2,16313","2,04605","0,18365",CINZA,PROVA CINZA,,"0,0",2017,"705,6944370269775","735,210657119751","823,9834308624268","59,18",Cluster 0
15,MT,9714,A,"16,0",0,,"1,29608","2,2573","0,10497",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"735,4037761688232","782,2649478912354","929,1951656341552","55,25",Cluster 2
15,MT,17360,A,"25,0",0,,"2,04425","1,81095","0,22729",CINZA,PROVA CINZA,,"0,0",2017,"679,060697555542","711,3687992095947","805,8159351348877","61,36",Cluster 0
16,MT,10252,B,"22,0",0,,"1,66203","1,36589","0,13107",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"642,2154903411865","679,3205738067627","794,1954135894775","56,55",Cluster 0
16,MT,43322,E,"7,0",0,,"0,96268","1,34664","0,01124",CINZA,PROVA CINZA,,"0,0",2017,"658,2849025726318","718,5070514678955","914,7469997406006","50,56",Cluster 0
17,MT,32541,E,"18,0",0,,"2,50805","2,2011","0,14073",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"723,3517169952393","748,0852603912354","824,2862224578857","57,04",Cluster 2
17,MT,85776,B,"29,0",0,,"1,67089","2,41733","0,24803",CINZA,PROVA CINZA,,"0,0",2017,"737,2300624847412","777,472734451294","893,3513164520264","62,4",Cluster 2
18,MT,15011,D,"28,0",0,,"2,1907","1,42683","0,18552",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"643,6388492584229","672,8236675262451","760,4973316192627","59,28",Cluster 0
18,MT,87141,A,"19,0",0,,"0,80131","4,14316","0,1181",CINZA,PROVA CINZA,,"0,0",2017,"927,9911518096924","1004,3566226959229","1242,315053939819","55,9",Cluster 2
19,MT,44588,E,"29,0",0,,"1,70171","2,43032","0,16463",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"745,9609508514404","782,9873561859131","895,585298538208","58,23",Cluster 2
19,MT,84945,D,"23,0",0,,"0,76406","4,65555","0,13227",CINZA,PROVA CINZA,,"0,0",2017,"977,5989055633544","1058,3703517913818","1308,283090591431","56,61",Cluster 2
20,MT,11758,B,"8,0",0,,"2,52165","1,59123","0,16603",CINZA,PROVA CINZA,,"0,0",2017,"661,0243320465088","686,0344409942627","762,0327472686768","58,3",Cluster 0
20,MT,12873,E,"19,0",0,,"3,91771","2,93145","0,13952",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"795,2587604522705","811,0826015472412","859,8582744598389","56,98",Cluster 2
21,MT,30605,D,"20,0",0,,"1,60132","1,03094","0,13719",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"608,4506511688232","647,1078395843506","766,4124965667725","56,86",Cluster 0
21,MT,89162,E,"22,0",0,,"0,94629","2,51063","0,16509",CINZA,PROVA CINZA,,"0,0",2017,"756,26540184021","822,8700160980225","1025,3660678863523","58,25",Cluster 2
22,MT,23221,A,"17,0",0,,"0,76484","2,71854","0,18563",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"774,5687961578369","858,1678867340088","1109,2917919158936","59,28",Cluster 2
22,MT,43940,C,"4,0",0,,"2,27542","0,97568","0,19626",CINZA,PROVA CINZA,,"0,0",2017,"597,8076457977295","626,1293888092041","710,648775100708","59,81",Cluster 0
23,MT,16883,E,"3,0",0,,"0,89154","1,16465","0,25916",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"605,9043407440186","682,1029186248779","899,6241092681885","62,96",Cluster 0
23,MT,27493,B,"16,0",0,,"3,21079","2,77172","0,21678",CINZA,PROVA CINZA,,"0,0",2017,"776,3879299163818","796,7798709869385","856,830358505249","60,84",Cluster 2
24,MT,23384,A,"11,0",0,,"2,73592","2,55633","0,10295",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"760,3042125701904","782,4771404266357","852,0691394805908","55,15",Cluster 2
