CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
1,CN,37558,E,"21,0",0,,"3,52416","1,83339","0,13342",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"685,9080791473389","703,4318447113037","757,6220035552979","56,67",Cluster 0
3,CN,29492,C,"25,0",0,,"2,33592","1,59496","0,15895",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"661,9565486907959","688,828706741333","770,8041667938232","57,95",Cluster 0
3,CN,43703,D,"6,0",0,,"4,93511","1,20198","0,19216",CINZA,PROVA CINZA,,"0,0",2017,"620,4288005828857","633,446455001831","672,3968982696533","59,61",Cluster 0
4,CN,18231,A,"14,0",0,,"2,77928","1,67212","0,20189",CINZA,PROVA CINZA,,"0,0",2017,"667,1111583709717","690,3975009918213","759,6414089202881","60,09",Cluster 0
4,CN,26210,D,"23,0",0,,"4,85658","1,65699","0,12148",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"667,8693294525146","680,4959774017334","719,7706699371338","56,07",Cluster 0
5,CN,11793,C,"5,0",0,,"2,16303","1,26972","0,22316",CINZA,PROVA CINZA,,"0,0",2017,"625,349760055542","655,7791233062744","744,9905872344971","61,16",Cluster 0
6,CN,33127,D,"13,0",0,,"3,76221","1,51174","0,05901",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"655,8959484100342","671,6506481170654","722,0594882965088","52,95",Cluster 0
6,CN,60699,D,"18,0",0,,"3,57306","1,33759","0,27353",CINZA,PROVA CINZA,,"0,0",2017,"630,4137706756592","649,6922969818115","704,085111618042","63,68",Cluster 0
8,CN,41025,D,"16,0",0,,"4,43094","1,16488","0,23983",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"615,0953769683838","630,1610469818115","673,8083362579346","61,99",Cluster 0
9,CN,48655,A,"21,0",0,,"2,90081","1,45295","0,15165",CINZA,PROVA CINZA,,"0,0",2017,"647,6085186004639","669,144868850708","735,1057529449463","57,58",Cluster 0
9,CN,60918,C,"14,0",0,,"3,33047","1,12954","0,20831",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"612,5824451446533","632,1113109588623","689,9421215057373","60,42",Cluster 0
10,CN,17983,A,"24,0",0,,"2,70478","1,41041","0,14995",CINZA,PROVA CINZA,,"0,0",2017,"643,6054706573486","666,6772365570068","737,4041080474854","57,5",Cluster 0
11,CN,25499,B,"5,0",0,,"2,56786","2,05471","0,36085",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"693,6876773834229","723,4876155853271","800,3489971160889","68,04",Cluster 0
11,CN,48663,E,"29,0",0,,"3,57627","1,63399","0,08793",CINZA,PROVA CINZA,,"0,0",2017,"667,461633682251","684,2868328094482","737,4517917633057","54,4",Cluster 0
13,CN,36884,E,"25,0",0,,"2,07918","1,57822","0,1632",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"660,3114604949951","690,5882358551025","782,7298641204834","58,16",Cluster 0
14,CN,26559,E,"1,0",0,,"4,43423","1,76617","0,08149",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"680,0596714019775","693,5827732086182","736,436128616333","54,07",Cluster 0
