CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto
122,CN,14944,D,"5,0",0,,"1,20474","2,12158","0,23447",CINZA,PROVA CINZA,,,2021,"707,756757736206","762,9101276397705","923,3253002166748","61,72"
106,CN,96209,E,"30,0",0,,"2,41147","1,88637","0,11687",CINZA,PROVA CINZA PPL REAPLICACAO,,,2021,"693,2418346405029","718,6000347137451","797,6620197296143","55,84"
104,CN,40798,D,"26,0",0,,"4,1569","0,95416","0,12654",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"597,8028774261475","612,5967502593994","658,5066318511963","56,33"
44,CN,45153,E,"19,0",0,,"4,47081","0,65969","0,15893",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"567,2543048858643","581,2947750091553","624,126672744751","57,95"
92,CN,40203,B,"24,0",0,,"2,40632","1,8928","0,12094",Cinza,PROVA CINZA,,"0,0",2018,"693,6900615692139","719,1627025604248","798,4249591827393","56,05"
91,CN,97577,C,"16,0",0,,"1,73579","-0,23373","0,13306",CINZA,PROVA CINZA,,,2021,"481,8718433380127","517,4415111541748","627,4573802947998","56,65"
108,CN,60359,A,"18,0",0,,"1,37076","2,55861","0,08688",Cinza,PROVA CINZA,,"0,0",2018,"766,5483951568604","810,4174137115479","949,1102695465088","54,34"
109,CN,96239,B,"15,0",0,,"2,07124","1,58513","0,15155",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"661,7610454559326","691,9186115264893","784,2962741851807","57,58"
3,CN,43703,D,"6,0",0,,"4,93511","1,20198","0,19216",CINZA,PROVA CINZA,,"0,0",2017,"620,4288005828857","633,446455001831","672,3968982696533","59,61"
106,CN,96209,E,"30,0",0,,"2,41147","1,88637","0,11687",CINZA,PROVA CINZA PPL REAPLICACAO,,,2021,"693,2418346405029","718,6000347137451","797,6620197296143","55,84"
97,CN,32800,C,"27,0",0,,"1,84404","2,23128","0,14336",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"727,3523807525635","761,0504627227783","864,7196292877197","57,17"
125,CN,77664,E,"10,0",0,,"2,5569","0,3941","0,11893",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"543,6556339263916","567,6000118255615","642,1797275543213","55,95"
113,CN,85474,A,"1,0",0,,"1,50003","0,83271","0,257",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"577,2416591644287","622,4386692047119","751,6806125640869","62,85"
103,CN,41113,A,"28,0",0,,"1,01744","1,32948","0,27018",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"621,7949390411377","689,2721652984619","880,1906108856201","63,51"
134,CN,95247,A,"3,0",0,,"2,50112","1,05664","0,32387",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"596,9469547271729","626,0626316070557","704,4165134429932","66,19"
126,CN,28355,A,"4,0",0,,"1,00923","0,64245","0,21629",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2020,"561,8207454681396","626,6729831695557","817,7058696746826","60,81"
124,CN,89925,C,"17,0",0,,"1,72007","0,75412","0,26095",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"569,7576999664307","609,3184947967529","722,092866897583","63,05"
132,CN,85079,E,"11,0",0,,"0,92989","-0,72714","0,02105",CINZA,PROVA CINZA,,,2021,"450,6747722625733","513,2954120635986","716,606855392456","51,05"
101,CN,111635,E,"14,0",0,,"1,8637","1,5452","0,17661",Cinza,PROVA CINZA,,"0,0",2018,"656,3131809234619","690,4022693634033","793,353796005249","58,83"
130,CN,97520,A,"14,0",0,,"1,54146","-0,03765","0,17419",CINZA,PROVA CINZA PPL REAPLICACAO,,,2021,"498,6207485198975","539,7670269012451","664,2048358917236","58,71"
11,CN,48663,E,"29,0",0,,"3,57627","1,63399","0,08793",CINZA,PROVA CINZA,,"0,0",2017,"667,461633682251","684,2868328094482","737,4517917633057","54,4"
135,CN,49914,E,"21,0",0,,"3,84427","0,81359","0,2444",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2020,"579,5590877532959","596,9922542572021","647,3343372344971","62,22"
124,CN,17304,D,"16,0",0,,"2,11952","1,60028","0,16151",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2022,"662,578821182251","692,2428607940674","782,6154232025146","58,08"
93,CN,41401,E,"26,0",0,,"2,83703","-0,06181","0,12643",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"497,3189830780029","518,996000289917","586,2610340118408","56,32"
96,CN,83901,B,"8,0",0,,"0,40583","2,51676","0,00918",CINZA,PROVA CINZA,,"0,0",2022,"808,2120418548584","950,9413242340088","1416,370153427124","50,46"
107,CN,88032,A,"23,0",0,,"3,63295","1,38608","0,18621",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"639,1565799713135","656,7637920379639","709,6378803253174","59,31"
101,CN,111635,E,"14,0",0,,"1,8637","1,5452","0,17661",Cinza,PROVA CINZA,,"0,0",2018,"656,3131809234619","690,4022693634033","793,353796005249","58,83"
7,CN,60227,D,"10,0",0,,"1,8599","2,25758","0,27091",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"719,5870876312256","756,5252780914307","860,9764575958252","63,55"
122,CN,7629,B,"20,0",0,,"0,75316","1,83643","0,10672",Cinza,PROVA CINZA,,"0,0",2019,"700,0153064727783","780,7343006134033","1033,624887466431","55,34"
111,CN,10529,D,"14,0",0,,"1,89246","0,24549","0,20248",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"524,3556499481201","558,5687160491943","660,2661609649658","60,12"
24,CN,64059,D,"5,0",0,,"3,73264","1,18769","0,12778",CINZA,PROVA CINZA,,"0,0",2017,"621,384859085083","637,8738880157471","689,0075206756592","56,39"
115,CN,82236,D,"22,0",0,,"2,77263","1,28601","0,13618",Cinza,PROVA CINZA,,"0,0",2019,"631,7417621612549","654,0529727935791","722,9511737823486","56,81"
28,CN,29759,A,"7,0",0,,"3,16655","1,64185","0,38411",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"652,7297496795654","677,7851581573486","740,4248714447021","69,21"
103,CN,87690,D,"12,0",0,,"2,54499","0,32436","0,18403",CINZA,PROVA CINZA,,"0,0",2020,"533,341646194458","558,4352016448975","633,892297744751","59,2"
127,CN,96553,C,"13,0",0,,"3,12774","0,99373","0,17247",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2022,"600,62575340271","620,8794116973877","682,1935176849365","58,62"
123,CN,30236,A,"25,0",0,,"2,57783","2,66051","0,16784",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2020,"767,8167819976807","792,3119068145752","866,6675090789795","58,39"
91,CN,97577,C,"16,0",0,,"1,73579","-0,23373","0,13306",CINZA,PROVA CINZA,,,2021,"481,8718433380127","517,4415111541748","627,4573802947998","56,65"
102,CN,85351,C,"26,0",0,,"2,46713","1,70111","0,26235",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"666,0716533660889","693,6900615692139","772,3300457000732","63,12"
104,CN,40798,D,"26,0",0,,"4,1569","0,95416","0,12654",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"597,8028774261475","612,5967502593994","658,5066318511963","56,33"
97,CN,111705,B,"2,0",0,,"1,78669","1,78124","0,20473",Cinza,PROVA CINZA,,"0,0",2019,"677,7327060699463","714,0343189239502","821,7828273773193","60,24"
93,CN,41401,E,"26,0",0,,"2,83703","-0,06181","0,12643",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"497,3189830780029","518,996000289917","586,2610340118408","56,32"
126,CN,48375,C,"25,0",0,,"1,19143","-0,30412","0,19428",CINZA,PROVA CINZA PPL REAPLICACAO,,,2021,"470,2894687652588","524,2984294891357","685,6744289398193","59,71"
96,CN,29853,B,"18,0",0,,"3,59588","2,11638","0,14861",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"713,6147022247314","730,9548854827881","784,1460704803467","57,43"
92,CN,111546,D,"23,0",0,,"3,28052","1,65567","0,21068",CINZA,PROVA CINZA,,,2021,"665,0822162628174","684,9448680877686","743,6721324920654","60,53"
97,CN,111431,E,"9,0",0,,"3,48192","1,70426","0,15448",CINZA,PROVA CINZA,,"0,0",2022,"672,2466945648193","690,2210712432861","745,1908588409424","57,72"
