CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto
35,LC,96262,C,"23,0",0,,"2,71876","0,24855","0,1477",AMARELA,PROVA AMARELA,,,2021,"527,5146961212158","550,433874130249","620,779275894165","57,38"
20,LC,61878,E,"26,0",0,,"1,94597","0,8094","0,13457",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"585,519552230835","617,2769069671631","715,4266834259033","56,73"
27,LC,68920,A,"20,0",0,,"0,96148","-0,66104","0,01713",AMARELA,PROVA AMARELA,,,2021,"456,93087577819824","517,3866748809814","713,9580249786377","50,86"
10,LC,112151,D,"27,0",0,,"3,32308","1,49208","0,18606",AMARELA,PROVA AMARELA,,"0,0",2020,"649,8138904571533","669,0614223480225","726,8636226654053","59,3"
14,LC,42506,D,"4,0",0,,"2,40336","1,61117","0,20239",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"660,9694957733154","687,908411026001","767,9884433746338","60,12"
32,LC,64063,B,"18,0",0,,"1,52555","3,06995","0,19863",Amarela,PROVA AMARELA,,"0,0",2018,"807,1272373199463","849,4441509246826","975,543737411499","59,93"
11,LC,86107,A,"9,0",0,,"2,5945","-0,06311","0,20827",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2020,"493,215799331665","518,2831287384033","592,5171375274658","60,41"
45,LC,120629,C,"30,0",0,,"1,8234","0,76304","0,12221",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"582,0362567901611","615,6795024871826","720,2928066253662","56,11"
29,LC,86480,A,"24,0",0,,"2,39054","-0,25251","0,16773",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"476,6576290130615","503,0720233917236","583,2521915435791","58,39"
41,LC,43185,A,"22,0",0,,"2,69468","-0,26299","0,19199",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2022,"474,132776260376","497,9722499847412","569,3047046661377","59,6"
27,LC,54504,B,"30,0",0,,"0,64315","1,40359","0,02701",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2020,"673,2313632965088","764,0092372894287","1058,105707168579","51,35"
30,LC,86328,D,"26,0",0,,"2,3444","0,84675","0,21744",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"583,5573673248291","611,5000247955322","693,7496662139893","60,87"
31,LC,20652,B,"15,0",0,,"2,46676","2,21741","0,13534",AMARELA,PROVA AMARELA,,"0,0",2020,"725,3139019012451","750,3788471221924","827,8124332427979","56,77"
27,LC,54504,B,"30,0",0,,"0,64315","1,40359","0,02701",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2020,"673,2313632965088","764,0092372894287","1058,105707168579","51,35"
7,LC,78939,C,"3,0",0,,"1,76018","0,39043","0,09423",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2020,"546,8838214874268","581,1827182769775","689,2650127410889","54,71"
37,LC,98173,E,"14,0",0,,"3,38388","0,88861","0,0718",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"593,6949253082275","611,3259792327881","667,4306392669678","53,59"
13,LC,84059,B,"11,0",0,,"2,64591","0,40747","0,17239",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"542,2298908233643","566,1718845367432","638,6511325836182","58,62"
28,LC,118201,D,"2,0",0,,"0,79399","-0,42733","0,23668",AMARELA,PROVA AMARELA,,,2021,"450,14071464538574","533,9853763580322","777,4584293365479","61,83"
30,LC,36051,D,"29,0",0,,"2,29441","1,05486","0,21328",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"604,6192646026611","633,0792903900146","717,0741558074951","60,66"
10,LC,141390,A,"30,0",0,,"1,54579","-0,30477","0,00839",AMARELA,PROVA AMARELA,,"0,0",2022,"484,4157695770264","521,8760967254639","644,0608501434326","50,42"
30,LC,36051,D,"29,0",0,,"2,29441","1,05486","0,21328",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"604,6192646026611","633,0792903900146","717,0741558074951","60,66"
23,LC,30469,A,"20,0",0,,"1,8824","1,22143","0,09514",AMARELA,PROVA AMARELA,,"0,0",2017,"629,4171810150146","661,505937576294","762,5787258148193","54,76"
12,LC,54528,E,"13,0",0,,"2,90825","2,05309","0,10359",AMARELA,PROVA AMARELA,,"0,0",2022,"709,6760272979736","730,5448055267334","796,0169315338135","55,18"
28,LC,24590,D,"17,0",0,,"3,36612","2,15008","0,14141",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"717,3960208892822","735,8353137969971","792,6146984100342","57,07"
45,LC,96861,E,"17,0",0,,"2,41993","1,10401","0,14865",AMARELA,PROVA AMARELA,,"0,0",2020,"613,3358478546143","639,1017436981201","718,1446552276611","57,43"
22,LC,10977,B,"26,0",0,,"0,563","-0,624","0,209",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2020,"435,222864151001","550,8058071136475","892,9316997528076","60,45"
22,LC,89327,B,"12,0",0,,"1,57221","2,74643","0,22189",AMARELA,PROVA AMARELA,,"0,0",2020,"772,5374698638916","814,3560886383057","937,0725154876708","61,09"
41,LC,120174,C,"27,0",0,,"2,67436","0,09087","0,13757",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"512,277364730835","535,4278087615967","606,8675518035889","56,88"
42,LC,96525,A,"28,0",0,,"3,89027","0,76252","0,11963",Amarela,PROVA AMARELA,,"0,0",2019,"579,0202617645264","594,7654247283936","643,7866687774658","55,98"
28,LC,29586,B,"20,0",0,,"3,0576","1,26179","0,08981",AMARELA,PROVA AMARELA,,"0,0",2017,"630,8596134185791","650,5577564239502","712,7516269683838","54,49"
39,LC,33595,D,"27,0",0,,"1,35806","0,16486","0,22019",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2022,"514,2419338226318","562,5884532928467","704,6239376068115","61,01"
31,LC,20652,B,"15,0",0,,"2,46676","2,21741","0,13534",AMARELA,PROVA AMARELA,,"0,0",2020,"725,3139019012451","750,3788471221924","827,8124332427979","56,77"
15,LC,30269,E,"14,0",0,,"1,8544","0,82214","0,20614",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"581,7239284515381","616,7356967926025","720,569372177124","60,31"
26,LC,86463,A,"16,0",0,,"3,49103","1,29965","0,11694",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"633,1436634063721","650,6602764129639","705,2748203277588","55,85"
27,LC,82889,B,"22,0",0,,"3,9794","0,59122","0,20812",Amarela,PROVA AMARELA,,"0,0",2018,"558,819055557251","575,1602649688721","623,5592365264893","60,41"
33,LC,77601,E,"21,0",0,,"0,94826","0,35004","0,25475",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"525,871992111206","597,2187519073486","801,598310470581","62,74"
38,LC,120722,B,"25,0",0,,"1,91409","0,83223","0,23711",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"580,2314281463623","615,0238513946533","716,0251140594482","61,86"
9,LC,111970,A,"19,0",0,,"3,00407","0,86553","0,12715",Amarela,PROVA AMARELA,,"0,0",2018,"589,8301601409912","610,3079319000244","673,8393306732178","56,36"
18,LC,76800,E,"1,0",0,,"2,41183","1,42846","0,15898",Amarela,PROVA AMARELA,,"0,0",2018,"645,2267169952393","671,2524890899658","750,6506443023682","57,95"
16,LC,89614,B,"10,0",0,,"3,45079","1,51281","0,12876",AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"654,0744304656982","671,9200611114502","727,2355556488037","56,44"
28,LC,50074,A,"19,0",0,,"2,05995","2,07823","0,24568",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"704,3592929840088","736,9344234466553","830,895185470581","62,28"
44,LC,30855,B,"19,0",0,,"2,63724","0,88243","0,13742",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2020,"591,484785079956","614,9594783782959","687,4029636383057","56,87"
27,LC,140827,B,"15,0",0,,"2,05337","0,67994","0,17382",AMARELA,PROVA AMARELA,,"0,0",2022,"569,810152053833","600,6901264190674","694,1001415252686","58,69"
11,LC,31174,C,"22,0",0,,"1,58641","1,20521","0,23911",AMARELA,PROVA AMARELA,,"0,0",2017,"616,7047023773193","658,7569713592529","780,6556224822998","61,96"
20,LC,61878,E,"26,0",0,,"1,94597","0,8094","0,13457",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"585,519552230835","617,2769069671631","715,4266834259033","56,73"
