CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto
142,MT,111502,C,"24,0",0,,"1,52331","0,28096","0,19072",CINZA,PROVA CINZA PPL REAPLICACAO,,,2021,"528,9809703826904","571,1119174957275","697,2758769989014","59,54"
36,MT,24604,B,"24,0",0,,"1,82507","1,7951","0,10095",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"686,6400241851807","719,8445796966553","824,1479396820068","55,05"
45,MT,23115,E,"11,0",0,,"2,6096","2,15007","0,10438",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"719,8374271392822","743,1046962738037","816,0750865936279","55,22"
169,MT,117651,E,"18,0",0,,"0,51115","2,58401","0,0088",CINZA,PROVA CINZA,,"0,0",2022,"803,3626079559326","916,6638851165771","1286,1840724945068","50,44"
165,MT,26367,C,"7,0",0,,"2,11653","2,80061","0,15195",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"783,2138538360596","812,734842300415","903,1407833099364","57,6"
162,MT,111468,B,"5,0",0,,"1,36078","1,1564","0,02623",Cinza,PROVA CINZA,,"0,0",2018,"631,2339305877686","674,1254329681396","813,1163120269775","51,31"
142,MT,111502,C,"24,0",0,,"1,52331","0,28096","0,19072",CINZA,PROVA CINZA PPL REAPLICACAO,,,2021,"528,9809703826904","571,1119174957275","697,2758769989014","59,54"
12,MT,18126,D,"15,0",0,,"2,02097","1,37153","0,18666",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"638,1075382232666","669,7695255279541","764,819860458374","59,33"
176,MT,29575,D,"25,0",0,,"1,43852","1,67651","0,11455",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"675,5678653717041","718,0206775665283","850,5241870880127","55,73"
152,MT,60329,B,"20,0",0,,"3,00381","2,28096","0,14168",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2020,"730,7617664337158","751,4255046844482","815,0570392608643","57,08"
161,MT,15292,B,"16,0",0,,"3,33463","1,86899","0,21641",Cinza,PROVA CINZA,,"0,0",2018,"686,1608028411865","705,7898044586182","763,6063098907471","60,82"
165,MT,88461,E,"13,0",0,,"2,26058","1,88581","0,08167",CINZA,PROVA CINZA,,,2021,"695,3232288360596","721,8520641326904","805,9113025665283","54,08"
137,MT,84906,C,"30,0",0,,"2,83889","1,93199","0,25173",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"690,3283596038818","714,0939235687256","782,3340892791748","62,59"
136,MT,30066,B,"29,0",0,,"1,00745","3,60668","0,13211",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"869,8217868804932","931,0739040374756","1120,6071376800537","56,61"
163,MT,32905,D,"27,0",0,,"2,18007","1,80201","0,15123",Cinza,PROVA CINZA,,"0,0",2018,"683,3045482635498","711,9529247283936","799,7148036956787","57,56"
163,MT,85460,A,"26,0",0,,"1,91919","1,73435","0,17145",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2022,"675,548791885376","708,5316181182861","808,448076248169","58,57"
177,MT,81869,E,"21,0",0,,"0,38226","4,96788","0,08061",CINZA,PROVA CINZA,,,2021,"1036,981821060181","1193,7730312347412","1690,8328533172607","54,03"
176,MT,29500,A,"11,0",0,,"2,44385","1,98197","0,08633",Cinza,PROVA CINZA,,"0,0",2018,"704,2162418365479","728,8162708282471","806,6051006317139","54,32"
179,MT,111530,B,"15,0",0,,"2,59012","2,03367","0,18389",CINZA,PROVA CINZA,,"0,0",2020,"704,2639255523682","728,9187908172607","803,0598163604736","59,19"
173,MT,25818,D,"13,0",0,,"1,92625","2,91184","0,15444",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2022,"794,4791316986084","826,9684314727783","926,3293743133544","57,72"
