CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
1,LC,31954,B,"8,0",0,,"2,02433","0,34872","0,20967",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"0,0","0,0",2019,"541,5432453155518","566,3244724273682","661,4820957183838"
1,LC,55170,A,"5,0",0,,"1,78899","0,13258","0,14052",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"1,0","0,0",2019,"525,6025791168213","552,4890422821045","659,3172550201416"
1,LC,77968,A,"6,0",0,,"2,96408","0,85341","0,17738",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"0,0","0,0",2019,"591,3012027740479","607,8784465789795","672,6138591766357"
1,LC,118222,B,"5,0",0,,"4,32465","0,4917","0,2523",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"1,0","0,0",2019,"550,9083271026611","562,8721714019775","607,6710224151611"
2,LC,32839,B,"8,0",0,,"2,92684","0,84376","0,17977",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"1,0","0,0",2019,"590,3117656707764","607,1226596832275","672,7020740509033"
2,LC,48558,D,"6,0",0,,"2,74411","0,68157","0,13769",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"1,0","0,0",2019,"576,3237476348877","593,8260555267334","663,4490489959717"
2,LC,55166,B,"7,0",0,,"2,66039","0,6113","0,19627",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"0,0","0,0",2019,"566,8704509735107","585,5576992034912","657,846212387085"
2,LC,98030,B,"8,0",0,,"3,12924","0,93933","0,20486",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"0,0","0,0",2019,"598,4537601470947","614,4325733184814","675,9541034698486"
3,LC,18848,B,"6,0",0,,"3,48455","0,76589","0,20727",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"0,0","0,0",2019,"580,5556774139404","594,9299335479736","650,1953601837158"
3,LC,87810,B,"6,0",0,,"2,22466","0,47559","0,19743",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"1,0","0,0",2019,"554,3558597564697","576,7219066619873","663,1796360015869"
3,LC,96705,A,"8,0",0,,"3,62651","0,79268","0,1043",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"1,0","0,0",2019,"586,4732265472412","599,4884967803955","651,9978046417236"
3,LC,118180,E,"5,0",0,,"5,61439","0,49582","0,1457",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"0,0","0,0",2019,"553,4093379974365","561,9995594024658","596,057653427124"
4,LC,17910,D,"6,0",0,,"2,64336","0,3311","0,17368",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"1,0","0,0",2019,"539,9672985076904","558,513879776001","631,0741901397705"
4,LC,39016,C,"7,0",0,,"3,76151","0,92828","0,14061",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"1,0","0,0",2019,"598,6969470977783","611,4833354949951","662,2927188873291"
4,LC,54110,D,"7,0",0,,"2,82077","0,63692","0,16707",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"0,0","0,0",2019,"570,4061985015869","587,7153873443604","655,6622982025146"
4,LC,86116,E,"5,0",0,,"2,45918","0,54702","0,21337",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"0,0","0,0",2019,"559,9920749664307","580,4412364959717","658,8118076324463"
5,LC,23564,A,"6,0",0,,"4,08473","0,41261","0,20536",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"0,0","0,0",2019,"544,7070598602295","556,9522380828857","604,0875911712646"
5,LC,25684,A,"7,0",0,,"2,98071","1,31605","0,19041",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"1,0","0,0",2019,"636,9798183441162","653,5975933074951","718,0731296539307"
5,LC,40270,D,"7,0",0,,"3,22121","0,98521","0,20723",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,"0,0","0,0",2019,"602,8144359588623","618,3617115020752","678,145170211792"
5,LC,118167,A,"8,0",0,,"2,4633","0,48099","0,09893",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,"1,0","0,0",2019,"558,9382648468018","578,052282333374","655,3165912628174"
6,LC,118070,A,"18,0",0,,"1,51246","-0,12978","0,05576",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"507,60912895202637","538,1290912628174","663,4824275970459"
6,LC,118161,C,"24,0",0,,"1,77698","0,04697","0,05812",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"522,0882892608643","548,0902194976807","654,80637550354"
7,LC,68155,E,"23,0",0,,"2,04517","1,1735","0,17667",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"626,0316371917725","650,0451564788818","743,8628673553467"
7,LC,86563,B,"3,0",0,,"0,92314","1,22467","0,09006",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"652,4102687835693","703,1934261322021","909,1966152191162"
8,LC,85383,B,"16,0",0,,"2,952","1,14907","0,11488",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"623,366117477417","639,4426822662354","704,0135860443115"
8,LC,118118,A,"9,0",0,,"3,00154","0,66248","0,15753",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"572,9405879974365","589,1196727752686","652,9061794281006"
9,LC,83334,C,"24,0",0,,"2,63584","1,00589","0,138",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"609,0776920318604","627,3000240325928","699,7864246368408"
9,LC,118147,B,"23,0",0,,"1,41373","-0,17071","0,01187",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"507,9190731048584","539,9887561798096","673,6247539520264"
